UniProtKB:O60231	DHX16	DBP2|DDX16|KIAA0577|PRP2
UniProtKB:P32969	RPL9	RPL9P7|RPL9P8|RPL9P9|OK/SW-cl.103
UniProtKB:Q6ZNE9	RUFY4	
UniProtKB:Q6ZNE5	ATG14	ATG14L|KIAA0831
UniProtKB:O60229	KALRN	DUET|DUO|HAPIP|TRAD
UniProtKB:Q5T036	FAM120AOS	C9orf10OS
UniProtKB:O60225	SSX5	
UniProtKB:O60224	SSX4	SSX4B|SSX4A
UniProtKB:O60220	TIMM8A	DDP|DDP1|TIM8A
UniProtKB:P39687	ANP32A	C15orf1|LANP|MAPM|PHAP1
UniProtKB:O60218	AKR1B10	AKR1B11
UniProtKB:O60216	RAD21	HR21|KIAA0078|NXP1|SCC1
UniProtKB:P32942	ICAM3	
UniProtKB:Q6IEZ7	OR2T5	
UniProtKB:Q6ZNC8	MBOAT1	OACT1
UniProtKB:Q6ZNC4	ZNF704	
UniProtKB:Q5T013	HYI	HT036|SB156
UniProtKB:Q5T011	SZT2	C1orf84|KIAA0467
UniProtKB:Q6ZNB7	AGMO	TMEM195
UniProtKB:Q6ZNB6	NFXL1	OZFP
UniProtKB:Q6ZNB5	XNDC1N	
UniProtKB:Q6IEY1	OR4F16	OR4F29|OR4F3
UniProtKB:P32929	CTH	
UniProtKB:P32927	CSF2RB	IL3RB|IL5RB
UniProtKB:P32926	DSG3	CDHF6
UniProtKB:Q6IF99	OR10K2	
UniProtKB:P39656	DDOST	KIAA0115|OST48|OK/SW-cl.45
UniProtKB:P19174	PLCG1	PLC1
UniProtKB:Q6ZNA5	FRRS1	SDFR2|SDR2
UniProtKB:Q6ZNA4	RNF111	
UniProtKB:Q6ZNA1	ZNF836	
UniProtKB:Q6IF82	OR4A47	
UniProtKB:P12429	ANXA3	ANX3
UniProtKB:Q6IEV9	OR4C11	OR4C11P
UniProtKB:Q6IEU7	OR5M10	
UniProtKB:Q6IF63	OR52W1	OR52W1P
UniProtKB:Q01201	RELB	
UniProtKB:Q6IF42	OR2A2	OR2A17P|OR2A2P
UniProtKB:Q6IF36	OR8G2P	OR8G2|OR8G4
UniProtKB:P19113	HDC	
UniProtKB:Q6ZMZ3	SYNE3	C14orf139|C14orf49|LINC00341
UniProtKB:Q6ZMZ0	RNF19B	IBRDC3|NKLAM
UniProtKB:P86479	PRR20C	
UniProtKB:P86478	PRR20E	
UniProtKB:Q6ZMY9	ZNF517	
UniProtKB:P19105	MYL12A	MLCB|MRLC3|RLC
UniProtKB:Q6ZMY6	WDR88	PQWD
UniProtKB:Q6ZMY3	SPOCD1	
UniProtKB:P86452	ZBED6	
UniProtKB:Q6ZN84	CCDC81	
UniProtKB:Q6ZMW3	EML6	EML5L
UniProtKB:Q6ZMW2	ZNF782	
