ALG3,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase"
CUL9,Cullin-9
A1BG,Alpha-1B-glycoprotein
A1CF,APOBEC1 complementation factor
A2M,Alpha-2-macroglobulin
A2ML1,Alpha-2-macroglobulin-like protein 1
A3GALT2,"Alpha-1,3-galactosyltransferase 2"
A4GALT,Lactosylceramide 4-alpha-galactosyltransferase
A4GNT,"Alpha-1,4-N-acetylglucosaminyltransferase"
AAAS,Aladin
AADAC,Arylacetamide deacetylase
AADAT,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
AAGAB,Alpha- and gamma-adaptin-binding protein p34
AAK1,AP2-associated protein kinase 1
AAMP,Angio-associated migratory cell protein
AANAT,Serotonin N-acetyltransferase
AARS1,"Alanine--tRNA ligase, cytoplasmic"
AARS2,"Alanine--tRNA ligase, mitochondrial"
AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial"
AATF,Protein AATF
ABAT,"4-aminobutyrate aminotransferase, mitochondrial"
ABCA1,Phospholipid-transporting ATPase ABCA1
ABCA12,Glucosylceramide transporter ABCA12
ABCA13,ATP-binding cassette sub-family A member 13
ABCA2,ATP-binding cassette sub-family A member 2
ABCA3,Phospholipid-transporting ATPase ABCA3
ABCA4,Retinal-specific phospholipid-transporting ATPase ABCA4
ABCA6,ATP-binding cassette sub-family A member 6
ABCA7,Phospholipid-transporting ATPase ABCA7
ABCA8,ABC-type organic anion transporter ABCA8
ABCB1,ATP-dependent translocase ABCB1
ABCB10,"ATP-binding cassette sub-family B member 10, mitochondrial"
ABCB11,Bile salt export pump
ABCB4,Phosphatidylcholine translocator ABCB4
ABCB5,ATP-binding cassette sub-family B member 5
ABCB6,ATP-binding cassette sub-family B member 6
ABCB7,"Iron-sulfur clusters transporter ABCB7, mitochondrial"
ABCB8,Mitochondrial potassium channel ATP-binding subunit
ABCB9,ABC-type oligopeptide transporter ABCB9
ABCC1,Multidrug resistance-associated protein 1
ABCC10,ATP-binding cassette sub-family C member 10
ABCC11,ATP-binding cassette sub-family C member 11
ABCC12,ATP-binding cassette sub-family C member 12
ABCC2,ATP-binding cassette sub-family C member 2
ABCC3,ATP-binding cassette sub-family C member 3
ABCC4,ATP-binding cassette sub-family C member 4
ABCC5,ATP-binding cassette sub-family C member 5
ABCC6,ATP-binding cassette sub-family C member 6
ABCC8,ATP-binding cassette sub-family C member 8
ABCC9,ATP-binding cassette sub-family C member 9
ABCD1,ATP-binding cassette sub-family D member 1
ABCD2,ATP-binding cassette sub-family D member 2
ABCD3,ATP-binding cassette sub-family D member 3
ABCD4,Lysosomal cobalamin transporter ABCD4
ABCE1,ATP-binding cassette sub-family E member 1
ABCF1,ATP-binding cassette sub-family F member 1
ABCG1,ATP-binding cassette sub-family G member 1
ABCG2,Broad substrate specificity ATP-binding cassette transporter ABCG2
ABCG4,ATP-binding cassette sub-family G member 4
ABCG5,ATP-binding cassette sub-family G member 5
ABCG8,ATP-binding cassette sub-family G member 8
ABHD10,"Palmitoyl-protein thioesterase ABHD10, mitochondrial"
ABHD12,Lysophosphatidylserine lipase ABHD12
ABHD14B,Putative protein-lysine deacylase ABHD14B
ABHD16A,Phosphatidylserine lipase ABHD16A
ABHD16B,Protein ABHD16B
ABHD17A,Alpha/beta hydrolase domain-containing protein 17A
ABHD2,Monoacylglycerol lipase ABHD2
ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5
ABHD6,Monoacylglycerol lipase ABHD6
ABI1,Abl interactor 1
ABI2,Abl interactor 2
ABI3,ABI gene family member 3
ABL1,Tyrosine-protein kinase ABL1
ABL2,Tyrosine-protein kinase ABL2
ABLIM1,Actin-binding LIM protein 1
ABLIM2,Actin-binding LIM protein 2
ABLIM3,Actin-binding LIM protein 3
ABR,Active breakpoint cluster region-related protein
ABRA,Actin-binding Rho-activating protein
ABRAXAS1,BRCA1-A complex subunit Abraxas 1
ABRAXAS2,BRISC complex subunit Abraxas 2
ABTB1,Ankyrin repeat and BTB/POZ domain-containing protein 1
ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal"
ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial"
ACACA,Acetyl-CoA carboxylase 1
ACACB,Acetyl-CoA carboxylase 2
ACAD11,Acyl-CoA dehydrogenase family member 11
ACAD9,"Complex I assembly factor ACAD9, mitochondrial"
ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"
ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
ACAP2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"
ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial"
ACAT2,"Acetyl-CoA acetyltransferase, cytosolic"
ACBD3,Golgi resident protein GCP60
ACBD5,Acyl-CoA-binding domain-containing protein 5
ACCS,1-aminocyclopropane-1-carboxylate synthase-like protein 1
ACD,Adrenocortical dysplasia protein homolog
ACE,Angiotensin-converting enzyme
ACE2,Angiotensin-converting enzyme 2
ACER1,Alkaline ceramidase 1
ACER2,Alkaline ceramidase 2
ACER3,Alkaline ceramidase 3
ACHE,Acetylcholinesterase
ACIN1,Apoptotic chromatin condensation inducer in the nucleus
ACKR2,Atypical chemokine receptor 2
ACKR3,Atypical chemokine receptor 3
ACKR4,Atypical chemokine receptor 4
