Gene	"Gene synonym"	"Gene description"
CDR1	"CDR, CDR34, CDR62A"	"Cerebellar degeneration related protein 1"
AVP	"ADH, ARVP"	"Arginine vasopressin"
HCRT	"OX, PPOX"	"Hypocretin neuropeptide precursor"
TPH2	"FLJ37295, NTPH"	"Tryptophan hydroxylase 2"
OPALIN	"HTMP10, TMEM10, TMP10"	"Oligodendrocytic myelin paranodal and inner loop protein"
BARHL1		"BarH like homeobox 1"
TMEM88B		"Transmembrane protein 88B"
GPR101		"G protein-coupled receptor 101"
MBP		"Myelin basic protein"
OTP		"Orthopedia homeobox"
F8A2		"Coagulation factor VIII associated 2"
GABRA6		"Gamma-aminobutyric acid type A receptor subunit alpha6"
MC3R	MC3	"Melanocortin 3 receptor"
MEPE		"Matrix extracellular phosphoglycoprotein"
GRM4	"GPRC1D, mGlu4, MGLUR4"	"Glutamate metabotropic receptor 4"
TAS2R39		"Taste 2 receptor member 39"
PMCH	MCH	"Pro-melanin concentrating hormone"
USP17L15		"Ubiquitin specific peptidase 17 like family member 15"
GRIN2B	"GluN2B, NMDAR2B"	"Glutamate ionotropic receptor NMDA type subunit 2B"
ANKRD63		"Ankyrin repeat domain 63"
NEUROD2	"bHLHa1, NDRF"	"Neuronal differentiation 2"
SPATA31E1	"C9orf79, FAM75E1, FLJ35866"	"SPATA31 subfamily E member 1"
IL1RAPL1	"IL1R8, IL1RAPL, MRX10, MRX21, MRX34, OPHN4, TIGIRR-2"	"Interleukin 1 receptor accessory protein like 1"
SLC6A3	"DAT, DAT1"	"Solute carrier family 6 member 3"
TH	DYT5b	"Tyrosine hydroxylase"
FOXB2	bA159H20.4	"Forkhead box B2"
NCAN	CSPG3	Neurocan
SLC17A7	"BNPI, VGLUT1"	"Solute carrier family 17 member 7"
OXT	"OT, OT-NPI, OXT-NPI"	"Oxytocin/neurophysin I prepropeptide"
GBX2		"Gastrulation brain homeobox 2"
NTSR2	NTR2	"Neurotensin receptor 2"
MT3	GIF	"Metallothionein 3"
NR2E1	"TLL, TLX, XTLL"	"Nuclear receptor subfamily 2 group E member 1"
OR9A2		"Olfactory receptor family 9 subfamily A member 2"
PMP2	"FABP8, M-FABP, MP2"	"Peripheral myelin protein 2"
GRIN1	"GluN1, NMDAR1"	"Glutamate ionotropic receptor NMDA type subunit 1"
RIMBP3B		"RIMS binding protein 3B"
RIMS1	"CORD7, KIAA0340, RAB3IP2, RIM, RIM1"	"Regulating synaptic membrane exocytosis 1"
TRAJ61		"T cell receptor alpha joining 61 (non-functional)"
BSX	BSX1	"Brain specific homeobox"
H4C3	"dJ221C16.1, H4/g, H4FG, HIST1H4C"	"H4 clustered histone 3"
ZFHX3	"ATBF1, C16orf47, FLJ26184, ZNF927"	"Zinc finger homeobox 3"
AC012254.7		"Elongin A3"
SCRT2	ZNF898B	"Scratch family transcriptional repressor 2"
C5orf63	"FLJ44606, YDR286C"	"Chromosome 5 open reading frame 63"
SYNDIG1L	"capucin, DSPC1, IFITMD4, TMEM90A"	"Synapse differentiation inducing 1 like"
GSX1	"Gsh-1, GSH1"	"GS homeobox 1"
KCNN1	"hSK1, KCa2.1"	"Potassium calcium-activated channel subfamily N member 1"
TTC9B	FLJ30373	"Tetratricopeptide repeat domain 9B"
DDX53	"CAGE, CT26"	"DEAD-box helicase 53"
AC090373.2		"Elongin A3 family member D"
CACNG8		"Calcium voltage-gated channel auxiliary subunit gamma 8"
GNG13	"G(gamma)13, h2-35"	"G protein subunit gamma 13"
MRGPRE	"GPR167, mrgE"	"MAS related GPR family member E"
PAQR6	"FLJ22672, PRdelta"	"Progestin and adipoQ receptor family member 6"
PNMA6F	PNMA6BL	"PNMA family member 6F"
SLC6A7	PROT	"Solute carrier family 6 member 7"
USP17L11		"Ubiquitin specific peptidase 17 like family member 11"
FGF3	"HBGF-3, INT2"	"Fibroblast growth factor 3"
AC012254.6		"Elongin A3 family member B"
FOXB1	"FKH5, HFKH-5"	"Forkhead box B1"
GRID2IP		"Grid2 interacting protein"
TBR1		"T-box brain transcription factor 1"
CREG2		"Cellular repressor of E1A stimulated genes 2"
ELOA2	"HsT832, TCEB3B, TCEB3L"	"Elongin A2"
GPR151	"GALR4, PGR7"	"G protein-coupled receptor 151"
MAG	"GMA, S-MAG, SIGLEC-4A, SIGLEC4A"	"Myelin associated glycoprotein"
SULT4A1	"hBR-STL-1, SULTX3"	"Sulfotransferase family 4A member 1"
IFNK		"Interferon kappa"
ZIC2	HPE5	"Zic family member 2"
BLID	BRCC2	"BH3-like motif containing, cell death inducer"
FEZF2	"FEZL, FKSG36, FLJ10142, TOF, Zfp312, ZNF312"	"FEZ family zinc finger 2"
IGHD2OR15-2A	"IGHD2/OR15-2A, IGHD2OR152A"	"Immunoglobulin heavy diversity 2/OR15-2A (non-functional)"
IGHD2OR15-2B	"IGHD2/OR15-2B, IGHD2OR152B"	"Immunoglobulin heavy diversity 2/OR15-2B (non-functional)"
IGHD3OR15-3A	"IGHD3/OR15-3A, IGHD3OR153A"	"Immunoglobulin heavy diversity 3/OR15-3A (non-functional)"
IGHD3OR15-3B	"IGHD3/OR15-3B, IGHD3OR153B"	"Immunoglobulin heavy diversity 3/OR15-3B (non-functional)"
