A1BG,,,,,,,,,,,,,,,,,,
A1CF,,,,,,,,,,,,,,,,,,
A2M,,,,,,,,,,,,,,,,,,
A2ML1,,,,,,,,,,,,,,,,,,
A3GALT2,,,,,,,,,,,,,,,,,,
A4GALT,,,,,,,,,,,,,,,,,,
A4GNT,,,,,,,,,,,,,,,,,,
AAAS,,,,,,,,,,,,,,,,,,
AADAC,,,,,,,,,,,,,,,,,,
AADAT,,,,,,,,,,,,,,,,,,
AAGAB,,,,,,,,,,,,,,,,,,
AAK1,,,,,,,,,,,,,,,,,,
AAMP,,,,,,,,,,,,,,,,,,
AANAT,,,,,,,,,,,,,,,,,,
AARS1,,,,,,,,,,,,,,,,,,
AARS2,,,,,,,,,,,,,,,,,,
AASDHPPT,,,,,,,,,,,,,,,,,,
AASS,,,,,,,,,,,,,,,,,,
AATF,,,,,,,,,,,,,,,,,,
ABAT,,,,,,,,,,,,,,,,,,
ABCA1,,,,,,,,,,,,,,,,,,
ABCA12,,,,,,,,,,,,,,,,,,
ABCA13,,,,,,,,,,,,,,,,,,
ABCA2,,,,,,,,,,,,,,,,,,
ABCA3,,,,,,,,,,,,,,,,,,
ABCA4,,,,,,,,,,,,,,,,,,
ABCA6,,,,,,,,,,,,,,,,,,
ABCA7,,,,,,,,,,,,,,,,,,
ABCA8,,,,,,,,,,,,,,,,,,
ABCB1,,,,,,,,,,,,,,,,,,
ABCB10,,,,,,,,,,,,,,,,,,
ABCB11,,,,,,,,,,,,,,,,,,
ABCB4,,,,,,,,,,,,,,,,,,
ABCB5,,,,,,,,,,,,,,,,,,
ABCB6,,,,,,,,,,,,,,,,,,
ABCB7,,,,,,,,,,,,,,,,,,
ABCB8,,,,,,,,,,,,,,,,,,
ABCB9,,,,,,,,,,,,,,,,,,
ABCC1,,,,,,,,,,,,,,,,,,
ABCC10,,,,,,,,,,,,,,,,,,
ABCC11,,,,,,,,,,,,,,,,,,
ABCC12,,,,,,,,,,,,,,,,,,
ABCC2,,,,,,,,,,,,,,,,,,
ABCC3,,,,,,,,,,,,,,,,,,
ABCC4,,,,,,,,,,,,,,,,,,
ABCC5,,,,,,,,,,,,,,,,,,
ABCC6,,,,,,,,,,,,,,,,,,
ABCC8,,,,,,,,,,,,,,,,,,
ABCC9,,,,,,,,,,,,,,,,,,
ABCD1,,,,,,,,,,,,,,,,,,
ABCD2,,,,,,,,,,,,,,,,,,
ABCD3,,,,,,,,,,,,,,,,,,
ABCD4,,,,,,,,,,,,,,,,,,
ABCE1,,,,,OK/SW-cl.40,,,,,,,,,,,,,
ABCF1,,,,,,,,,,,,,,,,,,
ABCG1,,,,,,,,,,,,,,,,,,
ABCG2,,,,,,,,,,,,,,,,,,
ABCG4,,,,,,,,,,,,,,,,,,
ABCG5,,,,,,,,,,,,,,,,,,
ABCG8,,,,,,,,,,,,,,,,,,
ABHD10,,,,,,,,,,,,,,,,,,
ABHD11,,,,,,,,,,,,,,,,,,
ABHD12,,,,,,,,,,,,,,,,,,
ABHD14B,,,,,,,,,,,,,,,,,,
ABHD16A,,,,,,,,,,,,,,,,,,
ABHD16B,,,,,,,,,,,,,,,,,,
ABHD17A,,,,,,,,,,,,,,,,,,
ABHD2,,,,,,,,,,,,,,,,,,
ABHD5,,,,,,,,,,,,,,,,,,
ABHD6,,,,,,,,,,,,,,,,,,
ABI1,,,,,,,,,,,,,,,,,,
ABI2,,,,,,,,,,,,,,,,,,
ABI3,,,,,,,,,,,,,,,,,,
ABL1,,,,,,,,,,,,,,,,,,
ABL2,,,,,,,,,,,,,,,,,,
ABLIM1,,,,,,,,,,,,,,,,,,
ABLIM2,,,,,,,,,,,,,,,,,,
ABLIM3,,,,,,,,,,,,,,,,,,
ABR,,,,,,,,,,,,,,,,,,
ABRA,,,,,,,,,,,,,,,,,,
ABRAXAS1,,,,,,,,,,,,,,,,,,
ABRAXAS2,,,,,,,,,,,,,,,,,,
ABTB1,,,,,,,,,,,,,,,,,,
ACAA1,,,,,,,,,,,,,,,,,,
ACAA2,,,,,,,,,,,,,,,,,,
ACACA,,,,,,,,,,,,,,,,,,
ACACB,,,,,,,,,,,,,,,,,,
ACAD11,,,,,,,,,,,,,,,,,,
ACAD9,,,,,,,,,,,,,,,,,,
ACADM,,,,,,,,,,,,,,,,,,
ACADS,,,,,,,,,,,,,,,,,,
ACADSB,,,,,,,,,,,,,,,,,,
ACADVL,,,,,,,,,,,,,,,,,,
ACAP2,,,,,,,,,,,,,,,,,,
ACAT1,,,,,,,,,,,,,,,,,,
