ROI, Median Gray Value
1,0.90
2,0.74
3,0.63
4,0.51
5,0.56
6,0.72
7,0.64
8,0.50
9,0.55
10,0.76
11,0.50
12,1.11
13,0.61
14,0.40
15,0.20
16,0.79
17,0.73
18,0.46
19,0.52
20,0.30
21,0.37
22,0.65
23,0.40
24,0.64
25,1.28
26,1.15
27,0.86
28,0.64
29,0.53
30,0.59
31,1.06
32,0.96
33,0.89
34,0.49
35,0.69
36,0.49
37,0.40
38,0.88
39,0.91
40,0.80
41,0.63
42,1.24
43,0.92
44,1.16
45,0.94
46,0.66
47,0.41
48,0.48
49,0.50
50,0.44
51,0.83
52,0.63
53,0.79
54,1.09
55,0.68
56,0.81
57,1.26
58,0.63
59,0.70
60,0.27
61,0.39
62,0.11
63,-0.00
64,-0.38
65,-0.06
66,0.24
67,0.39
68,0.54
69,0.63
70,0.71
71,0.69
72,0.69
73,1.06
74,1.23
75,1.57
76,1.42
77,1.34
78,1.65
79,1.69
80,0.88
81,0.87
82,0.27
83,0.26
84,0.15
85,0.39
86,1.13
87,1.19
88,1.06
89,0.87
90,0.83
91,0.85
92,1.06
93,0.94
94,0.79
95,1.50
96,0.65
97,0.40
98,0.48
99,0.57
100,1.04
101,1.13
102,0.95
103,1.26
104,0.76
105,0.65
106,0.58
107,0.54
108,0.36
109,0.19
110,0.16
111,0.06
112,0.87
113,1.15
114,0.96
115,1.10
116,0.83
117,0.77
118,1.16
119,0.89
120,0.96
121,0.61
122,0.47
123,0.92
124,0.62
125,1.47
126,1.28
127,1.05
128,1.06
129,1.13
130,1.20
131,1.41
132,0.95
133,0.86
134,1.11
135,1.01
136,0.32
137,0.57
138,0.39
139,0.45
140,0.67
141,0.55
142,0.68
143,0.64
144,0.75
145,0.91
146,0.68
147,0.61
148,0.58
149,0.18
150,0.48
151,1.57
152,1.18
153,1.68
154,1.78
155,1.00
156,0.88
157,1.66
158,1.10
159,0.58
160,0.27
161,-0.12
162,-0.43
163,-0.59
164,-0.81
165,-0.45
166,-0.37
