ROI, Median Gray Value, Area
17,2.19,803
18,1.2,703
19,3.47,398
20,2.75,459
21,1.31,457
22,1.81,444
23,1.39,1361
24,2.02,732
25,0.99,263
26,-0.36,219
27,-0.72,212
28,-2.07,260
29,-1.02,996
30,-1.77,1152
31,-1.24,677
32,-1.49,332
33,1.27,1798
34,0.01,2734
35,0.05,2256
36,-0.61,3794
37,-1.04,2241
38,-0.26,2460
39,0,2219
40,0.25,4410
41,0.15,2546
42,0.22,3608
43,1.37,1214
44,0.32,2613
45,0.58,2598
46,0.55,4181
47,0.64,5556
48,0.78,5575
49,0.11,2047
50,0.46,4104
51,0.25,1319
52,0.07,1843
53,0.87,2259
54,-0.21,2796
55,0.3,4074
56,-0.07,2580
57,-0.1,2492
58,0,1942
59,0.58,3628
60,0.36,3838
61,1.22,1609
62,0.93,2396
63,0.61,4666
64,1.7,6133
65,1.13,4115
66,0.96,3164
67,0.33,4544
68,0.4,1303
69,0.63,1212
70,0.3,4969
71,0.95,2578
72,1.27,2077
73,0.05,5990
74,0.49,1719
75,-0.51,4752
76,0.93,4064
77,0.19,3737
78,0.25,6100
79,0.52,2245
80,0.8,1975
81,-0.15,1338
82,-0.04,3168
