ROI, Median Gray Value, Area
1,-0.15,915
2,0.05,1153
3,0.49,1001
4,-0.06,961
5,-0.3,760
6,-0.49,1166
7,0.06,271
8,0.0,1069
9,-0.34,670
10,-0.48,683
11,0.8,1357
12,0.0,655
13,0.28,988
14,0.41,1737
15,0.95,1739
16,-0.11,1354
17,0.0,750
18,0.78,1324
19,0.68,1669
20,-0.15,1030
21,-0.55,928
22,0.9,1026
23,-0.12,1036
24,-0.39,399
25,-0.13,1014
26,0.0,1451
27,0.54,397
28,-0.47,635
29,1.57,544
30,-0.69,979
31,-0.55,698
32,0.53,598
33,0.91,525
34,0.18,1401
35,-0.17,1179
36,0.32,726
37,0.63,359
38,0.0,905
39,0.58,541
40,0.22,1015
41,0.36,658
42,0.61,509
43,0.0,1101
44,0.85,702
45,-1.32,896
46,0.0,613
47,-0.43,835
48,-0.0,1080
49,-0.39,854
50,0.51,1142
51,-0.96,848
52,-0.39,631
53,0.0,550
54,0.76,1770
55,0.61,1525
56,0.95,1014
57,0.91,927
58,0.0,1103
59,0.6,738
60,0.05,374
61,0.0,1120
62,0.0,895
63,-0.34,1255
64,-0.76,640
65,-0.59,1182
66,-0.16,569
67,0.32,1588
68,0.17,966
69,0.85,711
70,-0.99,724
71,-0.92,1000
72,-0.88,968
73,0.31,858
74,0.16,1683
75,1.43,513
76,1.03,622
77,1.48,541
78,0.65,457
79,1.09,724
80,0.0,1454
81,0.7,2190
82,0.0,1804
83,0.0,1175
84,-1.11,739
85,0.72,656
86,0.67,1278
87,2.05,1489
88,1.1,1548
89,0.31,1615
90,-0.19,1640
91,-0.42,1297
92,0.02,1254
93,1.1,2159
94,-0.55,599
95,0.99,817
96,0.18,991
97,0.41,942
98,0.35,480
99,0.65,863
100,0.26,1295
101,0.61,1066
102,0.96,1466
103,2.05,1321
104,0.0,2499
105,0.0,1383
106,0.17,1334
107,0.0,981
108,-0.76,765
109,-0.99,677
110,0.0,459
111,0.0,337
112,0.25,1092
113,1.77,2767
114,0.7,1485
115,0.52,939
116,0.45,925
117,0.23,505
118,0.0,1237
119,0.26,722
120,0.0,1172
121,0.0,1122
122,0.22,1351
123,0.44,884
124,-0.65,2193
125,0.93,1318
126,1.13,1297
127,1.39,794
128,0.65,1679
129,0.97,1523
130,1.6,946
131,0.94,1517
132,0.15,1225
133,1.31,1470
134,0.93,1448
135,0.34,2144
136,0.38,1322
137,0.32,850
138,0.36,1428
139,0.0,983
140,0.49,1099
141,-0.07,942
142,0.96,1094
143,-0.33,539
144,0.12,427
145,-0.39,669
146,-0.42,1218
147,-0.44,571
148,-0.75,854
149,0.0,528
150,-1.01,1233
151,-0.6,803
152,-0.5,703
153,-1.09,398
154,-0.48,459
155,0.17,457
156,-0.05,444
157,0.69,1361
158,0.26,732
159,-1.26,263
160,-1.75,219
161,0.0,212
162,0.0,260
163,-1.8,996
164,-1.63,1152
165,-2.27,677
166,-2.54,332
