ROI, Median Gray Value, Area
1,2.15,915
2,1.9,1153
3,1.8,1001
4,0.88,961
5,1.73,760
6,0.98,1166
7,1.24,271
8,0.66,1069
9,0.26,670
10,0.72,683
11,0.59,1357
12,0.56,655
13,-0.58,988
14,0.26,1737
15,0.88,1739
16,1.17,1354
17,0.64,750
18,1.56,1324
19,1.4,1669
20,0.42,1030
21,0.8,928
22,1.06,1026
23,0.09,1036
24,0.03,399
25,0.82,1014
26,0.7,1451
27,1.16,397
28,0.66,635
29,0.4,544
30,0.69,979
31,0.65,698
32,0.88,598
33,0.74,525
34,0.97,1401
35,0.0,1179
36,1.66,726
37,1.28,359
38,0.0,905
39,1.29,541
40,1.39,1015
41,1.46,658
42,0.22,509
43,0.61,1101
44,1.14,702
45,1.66,896
46,0.15,613
47,1.76,835
48,1.01,1080
49,0.33,854
50,-0.19,1142
51,1.7,848
52,0.0,631
53,0.0,550
54,1.96,1770
55,-0.25,1525
56,0.52,1014
57,0.91,927
58,0.0,1103
59,0.75,738
60,0.96,374
61,0.81,1120
62,1.44,895
63,1.42,1255
64,2.51,640
65,1.3,1182
66,0.88,569
67,0.79,1588
68,0.56,966
69,0.0,711
70,0.61,724
71,0.29,1000
72,1.27,968
73,1.68,858
74,1.95,1683
75,3.24,513
76,2.95,622
77,1.76,541
78,1.5,457
79,1.36,724
80,0.46,1454
81,0.0,2190
82,0.0,1804
83,0.0,1175
84,0.36,739
85,1.07,656
86,2.21,1278
87,0.92,1489
88,0.42,1548
89,1.6,1615
90,1.89,1640
91,1.12,1297
92,1.51,1254
93,2.62,2159
94,1.84,599
95,1.83,817
96,1.08,991
97,0.59,942
98,1.37,480
99,0.94,863
100,0.85,1295
101,1.48,1066
102,0.97,1466
103,1.87,1321
104,0.4,2499
105,0.0,1383
106,-0.53,1334
107,0.0,981
108,0.89,765
109,1.34,677
110,0.0,459
111,0.0,337
112,-0.25,1092
113,2.5,2767
114,1.73,1485
115,1.36,939
116,1.32,925
117,0.29,505
118,0.39,1237
119,0.08,722
120,0.74,1172
121,1.01,1122
122,0.71,1351
123,0.99,884
124,0.46,2193
125,2.31,1318
126,0.74,1297
127,2.06,794
128,1.36,1679
129,0.53,1523
130,1.55,946
131,0.17,1517
132,0.77,1225
133,0.53,1470
134,0.2,1448
135,-0.2,2144
136,-0.28,1322
137,0.68,850
138,0.0,1428
139,1.09,983
140,0.06,1099
141,-0.8,942
142,0.68,1094
143,0.5,539
144,0.93,427
145,1.1,669
146,0.98,1218
147,1.4,571
148,-0.08,854
149,0.0,528
150,0.38,1233
151,3.51,803
152,0.84,703
153,3.52,398
154,2.23,459
155,2.04,457
156,2.68,444
157,2.98,1361
158,2.8,732
159,0.52,263
160,0.22,219
161,0.0,212
162,0.0,260
163,-0.75,996
164,-2.3,1152
165,-0.14,677
166,0.18,332
