ROI, Median Gray Value, Area
1,1.45,915
2,1.24,1153
3,1.54,1001
4,1.4,961
5,1.74,760
6,0.97,1166
7,1.96,271
8,0.95,1069
9,1.39,670
10,0.84,683
11,1.4,1357
12,1.72,655
13,0.83,988
14,1.28,1737
15,1.43,1739
16,1.93,1354
17,1.89,750
18,0.95,1324
19,1.41,1669
20,1.71,1030
21,1.2,928
22,0.0,1026
23,1.35,1036
24,0.17,399
25,2.28,1014
26,2.34,1451
27,1.56,397
28,0.6,635
29,2.63,544
30,1.67,979
31,1.48,698
32,1.49,598
33,1.77,525
34,0.16,1401
35,0.89,1179
36,0.62,726
37,1.05,359
38,0.0,905
39,0.89,541
40,0.02,1015
41,0.41,658
42,0.0,509
43,0.46,1101
44,0.9,702
45,0.63,896
46,0.0,613
47,0.0,835
48,0.0,1080
49,0.05,854
50,0.07,1142
51,0.37,848
52,-0.48,631
53,-0.05,550
54,1.85,1770
55,1.35,1525
56,1.21,1014
57,0.7,927
58,0.0,1103
59,1.0,738
60,0.23,374
61,0.52,1120
62,0.96,895
63,1.33,1255
64,1.06,640
65,1.29,1182
66,1.35,569
67,0.29,1588
68,1.48,966
69,0.66,711
70,1.57,724
71,1.92,1000
72,1.08,968
73,0.9,858
74,1.62,1683
75,2.73,513
76,2.57,622
77,3.2,541
78,2.91,457
79,3.64,724
80,1.54,1454
81,1.58,2190
82,0.0,1804
83,0.0,1175
84,0.24,739
85,1.31,656
86,1.12,1278
87,1.54,1489
88,1.26,1548
89,2.71,1615
90,2.69,1640
91,1.77,1297
92,3.13,1254
93,2.31,2159
94,1.32,599
95,2.82,817
96,0.98,991
97,0.01,942
98,1.63,480
99,1.02,863
100,1.71,1295
101,2.35,1066
102,1.89,1466
103,2.49,1321
104,1.34,2499
105,0.36,1383
106,0.24,1334
107,0.0,981
108,0.79,765
109,1.51,677
110,0.0,459
111,0.0,337
112,1.62,1092
113,2.16,2767
114,0.95,1485
115,2.1,939
116,1.18,925
117,0.0,505
118,1.39,1237
119,1.87,722
120,0.78,1172
121,0.59,1122
122,-0.22,1351
123,1.13,884
124,0.57,2193
125,1.99,1318
126,2.73,1297
127,2.38,794
128,1.87,1679
129,1.1,1523
130,1.88,946
131,3.73,1517
132,1.95,1225
133,1.5,1470
134,2.4,1448
135,2.91,2144
136,1.18,1322
137,1.27,850
138,1.14,1428
139,1.33,983
140,2.03,1099
141,1.3,942
142,1.8,1094
143,1.65,539
144,1.56,427
145,0.91,669
146,2.02,1218
147,0.89,571
148,0.61,854
149,0.0,528
150,1.53,1233
151,1.81,803
152,0.88,703
153,2.6,398
154,2.21,459
155,1.24,457
156,1.7,444
157,3.3,1361
158,2.84,732
159,-0.58,263
160,-0.47,219
161,0.0,212
162,0.0,260
163,-1.36,996
164,-0.58,1152
165,-1.69,677
166,-0.81,332
