ROI, Median Gray Value, Area
1,0.24,915
2,0.53,1153
3,0.6,1001
4,1.33,961
5,0.83,760
6,0.23,1166
7,1.46,271
8,0.2,1069
9,0.03,670
10,0.13,683
11,-0.23,1357
12,1.38,655
13,0.0,988
14,-0.51,1737
15,0.0,1739
16,0.0,1354
17,0.32,750
18,0.39,1324
19,0.24,1669
20,-0.01,1030
21,0.29,928
22,1.36,1026
23,-0.48,1036
24,-0.52,399
25,1.74,1014
26,1.43,1451
27,1.98,397
28,1.79,635
29,2.1,544
30,0.8,979
31,1.41,698
32,0.29,598
33,0.88,525
34,0.42,1401
35,0.96,1179
36,0.21,726
37,0.32,359
38,0.0,905
39,0.14,541
40,1.3,1015
41,0.42,658
42,-0.19,509
43,0.42,1101
44,-0.26,702
45,0.0,896
46,0.42,613
47,0.86,835
48,-1.07,1080
49,-0.26,854
50,-0.61,1142
51,0.44,848
52,0.0,631
53,0.0,550
54,0.17,1770
55,0.4,1525
56,-0.06,1014
57,-0.48,927
58,0.0,1103
59,0.99,738
60,-0.24,374
61,0.88,1120
62,0.0,895
63,-0.38,1255
64,-0.55,640
65,0.0,1182
66,0.0,569
67,-0.04,1588
68,0.74,966
69,0.03,711
70,1.42,724
71,1.28,1000
72,0.91,968
73,1.28,858
74,1.79,1683
75,1.42,513
76,1.52,622
77,1.19,541
78,1.76,457
79,1.48,724
80,0.41,1454
81,0.19,2190
82,0.0,1804
83,0.0,1175
84,0.02,739
85,-0.6,656
86,0.36,1278
87,0.72,1489
88,0.86,1548
89,0.6,1615
90,0.95,1640
91,0.45,1297
92,1.57,1254
93,1.06,2159
94,1.29,599
95,2.41,817
96,0.49,991
97,0.0,942
98,-0.02,480
99,0.42,863
100,1.4,1295
101,0.79,1066
102,-0.63,1466
103,0.9,1321
104,-0.07,2499
105,0.21,1383
106,0.0,1334
107,0.0,981
108,-0.63,765
109,-0.52,677
110,0.0,459
111,0.0,337
112,0.99,1092
113,1.21,2767
114,1.33,1485
115,0.58,939
116,0.1,925
117,0.52,505
118,0.84,1237
119,0.2,722
120,0.74,1172
121,0.48,1122
122,0.37,1351
123,0.97,884
124,1.17,2193
125,1.43,1318
126,1.36,1297
127,0.08,794
128,1.14,1679
129,1.85,1523
130,0.37,946
131,2.15,1517
132,0.01,1225
133,1.13,1470
134,1.05,1448
135,0.41,2144
136,0.26,1322
137,-0.18,850
138,0.12,1428
139,0.37,983
140,0.0,1099
141,0.75,942
142,-0.04,1094
143,1.19,539
144,0.67,427
145,0.26,669
146,0.35,1218
147,-0.04,571
148,0.62,854
149,0.0,528
150,0.41,1233
151,2.42,803
152,1.03,703
153,2.34,398
154,2.43,459
155,1.12,457
156,1.43,444
157,1.99,1361
158,1.66,732
159,0.57,263
160,-1.49,219
161,0.0,212
162,0.0,260
163,-0.26,996
164,0.0,1152
165,-1.19,677
166,-1.02,332
