ROI, Median Gray Value, Area
1,2.72,915
2,1.04,1153
3,2.74,1001
4,2.1,961
5,1.11,760
6,1.06,1166
7,0.73,271
8,0.75,1069
9,1.5,670
10,0.85,683
11,-0.52,1357
12,1.08,655
13,0.89,988
14,0.36,1737
15,-0.41,1739
16,1.18,1354
17,1.06,750
18,0.05,1324
19,-0.11,1669
20,0.1,1030
21,1.75,928
22,-0.7,1026
23,0.91,1036
24,1.1,399
25,-0.23,1014
26,0.8,1451
27,-0.9,397
28,-0.78,635
29,-0.69,544
30,1.32,979
31,0.13,698
32,-0.49,598
33,0.05,525
34,1.04,1401
35,1.71,1179
36,0.58,726
37,0.73,359
38,0.0,905
39,0.01,541
40,0.62,1015
41,0.25,658
42,-0.77,509
43,0.01,1101
44,-0.05,702
45,0.0,896
46,0.0,613
47,-0.24,835
48,0.0,1080
49,-0.62,854
50,-0.6,1142
51,-0.29,848
52,0.0,631
53,0.31,550
54,2.78,1770
55,1.57,1525
56,2.25,1014
57,1.97,927
58,-0.28,1103
59,1.29,738
60,0.32,374
61,0.58,1120
62,0.0,895
63,0.28,1255
64,0.0,640
65,-0.32,1182
66,0.0,569
67,0.0,1588
68,-0.16,966
69,0.74,711
70,1.14,724
71,1.68,1000
72,0.85,968
73,0.29,858
74,0.35,1683
75,1.31,513
76,1.25,622
77,-0.94,541
78,1.25,457
79,-0.13,724
80,0.54,1454
81,0.21,2190
82,0.0,1804
83,0.0,1175
84,-0.53,739
85,0.02,656
86,0.0,1278
87,0.27,1489
88,0.45,1548
89,0.86,1615
90,1.7,1640
91,1.3,1297
92,0.45,1254
93,2.07,2159
94,1.1,599
95,0.76,817
96,-1.14,991
97,0.38,942
98,-0.83,480
99,-0.01,863
100,1.89,1295
101,0.02,1066
102,0.68,1466
103,0.0,1321
104,0.7,2499
105,0.27,1383
106,0.66,1334
107,0.0,981
108,0.14,765
109,-0.66,677
110,0.0,459
111,0.0,337
112,-0.57,1092
113,1.86,2767
114,2.01,1485
115,1.76,939
116,0.68,925
117,0.83,505
118,1.05,1237
119,0.7,722
120,0.41,1172
121,0.0,1122
122,1.06,1351
123,-0.59,884
124,0.05,2193
125,0.6,1318
126,0.24,1297
127,0.88,794
128,0.45,1679
129,0.87,1523
130,1.92,946
131,-0.11,1517
132,1.9,1225
133,0.02,1470
134,0.0,1448
135,-0.73,2144
136,-1.05,1322
137,-0.38,850
138,0.97,1428
139,1.03,983
140,-0.22,1099
141,-0.52,942
142,0.66,1094
143,0.74,539
144,0.78,427
145,2.5,669
146,-0.23,1218
147,1.07,571
148,0.22,854
149,0.0,528
150,-0.64,1233
151,0.63,803
152,-0.52,703
153,2.11,398
154,0.58,459
155,1.31,457
156,2.27,444
157,1.6,1361
158,2.08,732
159,-1.12,263
160,-1.08,219
161,0.0,212
162,0.0,260
163,-1.28,996
164,-1.35,1152
165,-1.11,677
166,-0.48,332
