ROI, Median Gray Value, Area
1,0.64,1798
2,0.4,2734
3,0.47,2256
4,-0.51,3794
5,0.04,2241
6,0.82,2460
7,0.66,2219
8,0.0,4410
9,-0.22,2546
10,-0.44,3608
11,-0.45,1214
12,0.29,2613
13,0.3,2598
14,-0.51,4181
15,0.03,5556
16,0.18,5575
17,-0.35,2047
18,0.04,4104
19,-0.14,1319
20,0.29,1843
21,-0.04,2259
22,0.0,2796
23,0.0,4074
24,-1.0,2580
25,0.47,2492
26,0.25,1942
27,0.79,3628
28,0.0,3838
29,0.0,1609
30,0.44,2396
31,1.28,4666
32,0.53,6133
33,0.05,4115
34,0.0,3164
35,0.69,4544
36,0.0,1303
37,0.0,1212
38,0.65,4969
39,1.13,2578
40,0.6,2077
41,0.33,5990
42,1.36,1719
43,0.43,4752
44,0.77,4064
45,0.73,3737
46,0.31,6100
47,0.0,2245
48,0.49,1975
49,1.25,1338
50,1.17,3168
51,1.09,803
52,1.01,703
53,1.15,398
54,1.71,459
55,0.58,457
56,0.38,444
57,0.1,1361
58,0.03,732
59,-0.1,263
60,-0.54,219
61,0.0,212
62,0.0,260
63,-0.54,996
64,-0.38,1152
65,-0.53,677
66,-0.15,332
