ROI, Median Gray Value, Area
1,-0.51,915
2,0.07,1153
3,-0.42,1001
4,-1.06,961
5,0.14,760
6,-0.64,1166
7,-0.49,271
8,0.59,1069
9,-0.24,670
10,-0.67,683
11,-0.21,1357
12,-0.3,655
13,0.21,988
14,-0.4,1737
15,-0.21,1739
16,1.55,1354
17,0.72,750
18,0.0,1324
19,0.14,1669
20,0.84,1030
21,0.59,928
22,0.6,1026
23,-0.04,1036
24,-0.27,399
25,-0.32,1014
26,-0.62,1451
27,-0.29,397
28,-1.23,635
29,-0.26,544
30,0.16,979
31,-0.78,698
32,0.42,598
33,-0.19,525
34,0.0,1401
35,0.55,1179
36,0.05,726
37,-0.37,359
38,0.0,905
39,-0.15,541
40,0.2,1015
41,-0.48,658
42,0.0,509
43,-0.18,1101
44,-0.02,702
45,1.12,896
46,0.0,613
47,0.87,835
48,-0.28,1080
49,0.0,854
50,-0.5,1142
51,1.17,848
52,-0.17,631
53,0.0,550
54,0.28,1770
55,0.0,1525
56,0.0,1014
57,0.06,927
58,0.0,1103
59,0.56,738
60,0.0,374
61,0.33,1120
62,0.0,895
63,-0.01,1255
64,0.0,640
65,0.87,1182
66,0.0,569
67,0.2,1588
68,-0.18,966
69,-1.51,711
70,0.48,724
71,0.04,1000
72,1.44,968
73,1.06,858
74,0.48,1683
75,0.54,513
76,-0.03,622
77,0.52,541
78,0.55,457
79,1.21,724
80,0.0,1454
81,0.0,2190
82,0.0,1804
83,0.0,1175
84,1.01,739
85,-0.13,656
86,1.34,1278
87,0.72,1489
88,0.57,1548
89,0.74,1615
90,0.81,1640
91,0.37,1297
92,0.53,1254
93,0.37,2159
94,-0.21,599
95,1.07,817
96,1.13,991
97,-0.16,942
98,0.87,480
99,1.2,863
100,-0.31,1295
101,0.53,1066
102,0.37,1466
103,0.04,1321
104,0.5,2499
105,0.95,1383
106,0.04,1334
107,0.0,981
108,0.19,765
109,0.62,677
110,0.0,459
111,0.0,337
112,0.65,1092
113,0.36,2767
114,0.38,1485
115,0.79,939
116,0.03,925
117,0.32,505
118,1.17,1237
119,0.23,722
120,1.54,1172
121,0.51,1122
122,-0.05,1351
123,1.14,884
124,0.8,2193
125,0.71,1318
126,0.68,1297
127,0.58,794
128,0.23,1679
129,0.11,1523
130,0.55,946
131,1.41,1517
132,0.51,1225
133,-0.71,1470
134,1.38,1448
135,0.01,2144
136,-0.31,1322
137,-0.56,850
138,0.14,1428
139,0.0,983
140,0.36,1099
141,0.27,942
142,-0.33,1094
143,-0.01,539
144,0.03,427
145,1.14,669
146,0.54,1218
147,0.9,571
148,0.31,854
149,0.0,528
150,0.71,1233
151,1.39,803
152,1.35,703
153,0.87,398
154,1.72,459
155,0.4,457
156,0.19,444
157,1.33,1361
158,0.41,732
159,-0.4,263
160,-0.19,219
161,0.0,212
162,0.0,260
163,-0.37,996
164,-0.46,1152
165,-0.95,677
166,-0.89,332
