ROI, Median Gray Value, Area
1,1.84,1798
2,0.07,2734
3,1.02,2256
4,0.54,3794
5,1.24,2241
6,0.93,2460
7,0.57,2219
8,0.97,4410
9,0.8,2546
10,1.44,3608
11,1.64,1214
12,1.9,2613
13,0.64,2598
14,0.51,4181
15,0.2,5556
16,0.94,5575
17,0.94,2047
18,0.19,4104
19,0.44,1319
20,0.3,1843
21,0.27,2259
22,0.82,2796
23,0.6,4074
24,1.56,2580
25,2.52,2492
26,1.18,1942
27,1.52,3628
28,1.23,3838
29,0.14,1609
30,0.52,2396
31,1.32,4666
32,2.0,6133
33,1.24,4115
34,0.37,3164
35,1.05,4544
36,0.05,1303
37,0.0,1212
38,1.23,4969
39,2.07,2578
40,0.98,2077
41,1.31,5990
42,3.12,1719
43,1.28,4752
44,1.89,4064
45,1.21,3737
46,1.42,6100
47,0.54,2245
48,0.6,1975
49,0.57,1338
50,0.47,3168
51,2.64,803
52,2.15,703
53,3.14,398
54,2.97,459
55,1.17,457
56,1.38,444
57,3.48,1361
58,1.86,732
59,1.81,263
60,1.02,219
61,0.0,212
62,0.0,260
63,1.28,996
64,0.0,1152
65,-0.65,677
66,-0.87,332
