ROI, Median Gray Value, Area
1,-1.4,915
2,-0.23,1153
3,-0.48,1001
4,-0.54,961
5,0.16,760
6,-0.35,1166
7,1.17,271
8,0.0,1069
9,-0.14,670
10,0.08,683
11,0.14,1357
12,1.18,655
13,0.17,988
14,0.37,1737
15,0.05,1739
16,0.37,1354
17,1.47,750
18,0.48,1324
19,-0.28,1669
20,-0.49,1030
21,0.46,928
22,-0.83,1026
23,0.32,1036
24,-0.22,399
25,-0.58,1014
26,0.16,1451
27,-1.26,397
28,0.1,635
29,-0.57,544
30,-0.71,979
31,-0.0,698
32,-0.31,598
33,-0.05,525
34,-0.05,1401
35,0.47,1179
36,-0.26,726
37,-0.75,359
38,0.0,905
39,0.14,541
40,-0.37,1015
41,0.2,658
42,-1.33,509
43,0.8,1101
44,-1.01,702
45,0.0,896
46,0.0,613
47,-0.07,835
48,-0.05,1080
49,-0.18,854
50,-1.1,1142
51,-1.13,848
52,-0.19,631
53,0.0,550
54,-0.29,1770
55,-0.56,1525
56,-0.3,1014
57,0.63,927
58,0.0,1103
59,0.0,738
60,-1.18,374
61,0.0,1120
62,-0.67,895
63,0.53,1255
64,0.02,640
65,-0.75,1182
66,0.35,569
67,0.0,1588
68,0.65,966
69,0.96,711
70,-0.9,724
71,0.0,1000
72,-0.37,968
73,-0.11,858
74,-0.86,1683
75,-0.11,513
76,0.07,622
77,-1.96,541
78,-1.01,457
79,-1.39,724
80,-0.19,1454
81,0.43,2190
82,0.0,1804
83,0.0,1175
84,-0.06,739
85,-0.27,656
86,0.35,1278
87,-0.12,1489
88,0.14,1548
89,0.28,1615
90,0.44,1640
91,-0.17,1297
92,0.15,1254
93,-0.18,2159
94,0.99,599
95,-1.04,817
96,-1.2,991
97,-0.45,942
98,-0.6,480
99,-1.2,863
100,0.35,1295
101,0.11,1066
102,0.06,1466
103,1.04,1321
104,0.0,2499
105,0.0,1383
106,0.14,1334
107,0.0,981
108,0.07,765
109,-0.71,677
110,0.0,459
111,0.0,337
112,-0.91,1092
113,0.39,2767
114,0.18,1485
115,-0.72,939
116,-0.11,925
117,-0.13,505
118,-0.17,1237
119,-0.52,722
120,-0.77,1172
121,-0.06,1122
122,-0.15,1351
123,-0.73,884
124,-0.97,2193
125,-0.28,1318
126,-0.02,1297
127,-0.49,794
128,0.95,1679
129,0.1,1523
130,0.39,946
131,0.65,1517
132,0.17,1225
133,0.71,1470
134,-0.07,1448
135,0.39,2144
136,-0.43,1322
137,0.42,850
138,0.0,1428
139,0.0,983
140,-0.01,1099
141,0.28,942
142,0.7,1094
143,0.58,539
144,-0.48,427
145,0.73,669
146,-0.94,1218
147,0.41,571
148,0.0,854
149,0.0,528
150,-0.35,1233
151,0.67,803
152,-1.13,703
153,0.41,398
154,0.19,459
155,-0.81,457
156,-0.85,444
157,-0.56,1361
158,-0.61,732
159,-1.1,263
160,-0.62,219
161,0.0,212
162,0.0,260
163,-1.57,996
164,-1.95,1152
165,-1.67,677
166,-2.3,332
