ROI, Median Gray Value, Area
1,2.38,915
2,2.12,1153
3,2.43,1001
4,2.01,961
5,2.05,760
6,0.99,1166
7,3.83,271
8,1.66,1069
9,1.29,670
10,1.51,683
11,2.54,1357
12,3.16,655
13,1.51,988
14,1.59,1737
15,1.37,1739
16,2.68,1354
17,2.29,750
18,1.82,1324
19,2.13,1669
20,2.44,1030
21,3.5,928
22,1.76,1026
23,2.45,1036
24,2.13,399
25,2.59,1014
26,1.47,1451
27,2.97,397
28,2.04,635
29,2.9,544
30,1.96,979
31,1.5,698
32,2.03,598
33,0.88,525
34,0.18,1401
35,1.03,1179
36,0.49,726
37,1.46,359
38,0.0,905
39,2.25,541
40,0.76,1015
41,1.94,658
42,1.08,509
43,2.27,1101
44,0.72,702
45,1.94,896
46,1.76,613
47,1.39,835
48,0.44,1080
49,-0.03,854
50,0.19,1142
51,0.45,848
52,1.12,631
53,0.0,550
54,1.26,1770
55,1.28,1525
56,0.48,1014
57,0.8,927
58,1.65,1103
59,0.93,738
60,0.94,374
61,0.57,1120
62,0.2,895
63,1.58,1255
64,2.28,640
65,0.86,1182
66,1.57,569
67,1.47,1588
68,1.65,966
69,0.18,711
70,2.18,724
71,1.86,1000
72,1.43,968
73,1.46,858
74,2.45,1683
75,2.12,513
76,2.33,622
77,2.81,541
78,3.56,457
79,3.55,724
80,1.74,1454
81,1.24,2190
82,0.0,1804
83,0.0,1175
84,0.74,739
85,1.43,656
86,2.22,1278
87,2.13,1489
88,2.48,1548
89,0.72,1615
90,1.25,1640
91,1.64,1297
92,1.59,1254
93,1.52,2159
94,0.92,599
95,2.01,817
96,1.04,991
97,1.68,942
98,2.2,480
99,1.98,863
100,1.71,1295
101,2.24,1066
102,1.57,1466
103,1.26,1321
104,1.53,2499
105,1.59,1383
106,1.28,1334
107,0.44,981
108,1.87,765
109,0.95,677
110,0.0,459
111,0.0,337
112,1.99,1092
113,1.05,2767
114,1.21,1485
115,1.68,939
116,0.68,925
117,0.35,505
118,2.47,1237
119,1.44,722
120,1.75,1172
121,1.47,1122
122,1.28,1351
123,1.53,884
124,1.93,2193
125,2.23,1318
126,3.22,1297
127,0.28,794
128,2.1,1679
129,2.17,1523
130,1.43,946
131,2.57,1517
132,2.49,1225
133,1.86,1470
134,1.55,1448
135,1.2,2144
136,0.35,1322
137,0.82,850
138,0.0,1428
139,0.0,983
140,1.38,1099
141,1.43,942
142,1.92,1094
143,1.59,539
144,1.66,427
145,3.03,669
146,1.51,1218
147,2.88,571
148,1.36,854
149,0.0,528
150,1.54,1233
151,2.09,803
152,2.25,703
153,2.84,398
154,2.23,459
155,2.88,457
156,1.87,444
157,1.58,1361
158,1.75,732
159,0.95,263
160,0.24,219
161,0.0,212
162,0.0,260
163,-0.13,996
164,-0.48,1152
165,-0.62,677
166,0.02,332
