ROI, Median Gray Value, Area
1,2.03,915
2,1.29,1153
3,0.8,1001
4,2.34,961
5,1.95,760
6,0.19,1166
7,1.76,271
8,1.52,1069
9,1.56,670
10,1.4,683
11,0.72,1357
12,1.47,655
13,1.09,988
14,0.13,1737
15,0.88,1739
16,1.24,1354
17,0.69,750
18,1.05,1324
19,0.44,1669
20,0.72,1030
21,2.02,928
22,0.15,1026
23,1.47,1036
24,1.45,399
25,1.8,1014
26,0.15,1451
27,2.17,397
28,-0.16,635
29,1.38,544
30,1.42,979
31,0.31,698
32,0.87,598
33,0.33,525
34,0.71,1401
35,0.59,1179
36,0.99,726
37,1.9,359
38,0.0,905
39,0.22,541
40,1.13,1015
41,1.66,658
42,1.28,509
43,0.54,1101
44,0.24,702
45,0.51,896
46,0.17,613
47,0.99,835
48,0.0,1080
49,0.42,854
50,0.17,1142
51,1.62,848
52,0.11,631
53,0.01,550
54,0.99,1770
55,0.1,1525
56,0.79,1014
57,0.68,927
58,0.0,1103
59,1.65,738
60,0.14,374
61,0.67,1120
62,0.0,895
63,1.15,1255
64,0.0,640
65,0.29,1182
66,0.0,569
67,0.0,1588
68,-0.21,966
69,1.06,711
70,0.77,724
71,0.72,1000
72,1.5,968
73,2.22,858
74,2.63,1683
75,1.62,513
76,0.24,622
77,2.6,541
78,3.0,457
79,2.47,724
80,0.84,1454
81,0.52,2190
82,0.0,1804
83,0.0,1175
84,1.2,739
85,0.13,656
86,1.62,1278
87,0.77,1489
88,1.79,1548
89,1.3,1615
90,1.1,1640
91,0.88,1297
92,1.01,1254
93,1.69,2159
94,0.95,599
95,3.41,817
96,2.21,991
97,0.06,942
98,1.44,480
99,1.88,863
100,1.69,1295
101,1.55,1066
102,1.1,1466
103,1.9,1321
104,0.4,2499
105,1.21,1383
106,1.1,1334
107,0.0,981
108,1.49,765
109,1.54,677
110,0.0,459
111,0.0,337
112,0.39,1092
113,1.64,2767
114,1.65,1485
115,2.05,939
116,0.93,925
117,2.01,505
118,2.25,1237
119,2.27,722
120,2.76,1172
121,0.87,1122
122,0.39,1351
123,2.41,884
124,1.58,2193
125,1.51,1318
126,2.15,1297
127,0.47,794
128,1.64,1679
129,2.44,1523
130,0.39,946
131,1.95,1517
132,1.12,1225
133,0.39,1470
134,1.84,1448
135,0.95,2144
136,-0.88,1322
137,0.0,850
138,0.54,1428
139,0.59,983
140,0.11,1099
141,-0.71,942
142,0.12,1094
143,0.81,539
144,0.58,427
145,2.27,669
146,1.25,1218
147,2.1,571
148,0.45,854
149,0.0,528
150,1.09,1233
151,2.13,803
152,1.3,703
153,2.82,398
154,2.47,459
155,2.22,457
156,2.38,444
157,2.12,1361
158,2.21,732
159,1.33,263
160,0.95,219
161,0.0,212
162,0.0,260
163,-0.32,996
164,0.0,1152
165,0.21,677
166,1.11,332
