ROI, Median Gray Value, Area
1,1.8,1181
2,1.79,801
3,0.57,3357
4,0.42,1422
5,0.99,586
6,0.37,4116
7,0.0,5272
8,1.05,4717
9,-0.17,1076
10,0.0,4532
11,0.43,3280
12,0.57,2908
13,0.47,1697
14,0.82,5352
15,0.53,684
16,0.16,1652
17,-0.08,2277
18,-0.13,1018
19,-0.81,1757
20,-0.9,923
21,0.31,4394
22,0.15,1493
23,0.0,5789
24,1.43,4547
25,1.85,1177
26,-0.3,7310
27,0.07,10985
28,0.22,5943
29,0.08,5587
30,0.4,4927
31,0.49,323
32,0.76,909
33,-1.05,567
34,-0.45,2850
35,0.28,3282
36,0.1,1757
37,-0.97,2492
38,-1.95,821
39,0.97,545
40,1.44,2057
41,1.77,947
42,1.02,932
43,-1.03,785
44,0.34,3107
45,0.24,1316
46,1.38,670
47,0.62,4272
48,0.16,5402
49,0.62,4615
50,0.04,1070
51,0.0,4532
52,0.8,3213
53,0.5,2790
54,0.41,2045
55,1.08,5559
56,0.82,778
57,0.59,1995
58,-0.31,1922
59,-0.54,1197
60,-0.43,2134
61,-0.13,916
62,0.6,4024
63,0.6,1462
64,0.87,5743
65,0.57,4438
66,0.32,801
67,-0.13,7719
68,0.63,10341
69,0.35,5747
70,0.47,5413
71,0.32,5629
72,-0.23,402
73,0.78,883
74,-0.29,517
75,0.93,2831
76,0.14,3465
77,-0.8,1705
78,-1.25,2321
79,-1.19,752
80,0.7,437
81,1.14,1935
82,1.73,957
83,-0.12,9036
