ROI, Median Gray Value, Area
1,1.41,915
2,0.58,1153
3,-0.24,1001
4,1.08,961
5,0.53,760
6,-0.35,1166
7,0.25,271
8,0.34,1069
9,0.92,670
10,-0.09,683
11,-0.07,1357
12,0.56,655
13,0.51,988
14,-0.89,1737
15,0.0,1739
16,-0.45,1354
17,-0.2,750
18,0.0,1324
19,0.29,1669
20,0.17,1030
21,1.08,928
22,-0.25,1026
23,0.04,1036
24,-0.03,399
25,-0.57,1014
26,-1.08,1451
27,0.47,397
28,-1.11,635
29,-0.66,544
30,0.0,979
31,-0.94,698
32,-0.1,598
33,-0.91,525
34,-0.08,1401
35,0.01,1179
36,-0.25,726
37,0.86,359
38,1.34,905
39,-0.19,541
40,0.91,1015
41,0.83,658
42,0.4,509
43,-0.08,1101
44,0.54,702
45,0.54,896
46,1.34,613
47,0.4,835
48,0.64,1080
49,0.56,854
50,-0.57,1142
51,1.17,848
52,0.55,631
53,-0.8,550
54,0.46,1770
55,-0.31,1525
56,0.76,1014
57,-0.19,927
58,-0.07,1103
59,1.31,738
60,0.35,374
61,0.6,1120
62,0.18,895
63,0.35,1255
64,0.13,640
65,1.01,1182
66,0.02,569
67,0.42,1588
68,-0.39,966
69,0.29,711
70,0.82,724
71,-0.26,1000
72,0.31,968
73,1.12,858
74,-0.0,1683
75,-0.29,513
76,-0.23,622
77,0.98,541
78,1.11,457
79,0.37,724
80,-0.45,1454
81,-0.19,2190
82,1.23,1804
83,0.76,1175
84,1.28,739
85,0.24,656
86,0.85,1278
87,0.02,1489
88,0.84,1548
89,0.61,1615
90,1.65,1640
91,0.7,1297
92,0.57,1254
93,1.06,2159
94,0.21,599
95,0.82,817
96,1.32,991
97,-0.04,942
98,1.75,480
99,1.65,863
100,1.53,1295
101,0.48,1066
102,-0.41,1466
103,0.03,1321
104,-0.6,2499
105,0.26,1383
106,-0.7,1334
107,0.75,981
108,0.84,765
109,1.28,677
110,-0.49,459
111,-0.73,337
112,0.47,1092
113,0.98,2767
114,1.07,1485
115,0.47,939
116,-0.16,925
117,0.98,505
118,1.27,1237
119,-0.04,722
120,1.39,1172
121,0.21,1122
122,-0.81,1351
123,1.54,884
124,1.24,2193
125,-0.07,1318
126,1.47,1297
127,-1.49,794
128,0.38,1679
129,-0.2,1523
130,-0.98,946
131,0.89,1517
132,-0.41,1225
133,-1.03,1470
134,1.36,1448
135,-0.2,2144
136,-0.63,1322
137,0.48,850
138,0.39,1428
139,0.95,983
140,-0.74,1099
141,-0.42,942
142,-0.12,1094
143,-0.02,539
144,-0.22,427
145,2.12,669
146,1.46,1218
147,1.43,571
148,-0.22,854
149,0.1,528
150,1.47,1233
151,1.62,803
152,1.2,703
153,2.17,398
154,0.85,459
155,0.57,457
156,-0.26,444
157,-0.14,1361
158,0.95,732
159,1.34,263
160,1.48,219
161,-1.28,212
162,-2.11,260
163,-1.19,996
164,-1.7,1152
165,-1.06,677
166,-0.77,332
