ROI, Median Gray Value, Area
1,1.08,1798
2,1.27,2734
3,0.09,2256
4,0.9,3794
5,0.7,2241
6,1.34,2460
7,0.61,2219
8,0.69,4410
9,1.48,2546
10,1.27,3608
11,1.01,1214
12,0.93,2613
13,0.72,2598
14,0.0,4181
15,0.0,5556
16,1.39,5575
17,0.05,2047
18,0.0,4104
19,0.21,1319
20,-1.5,1843
21,-0.96,2259
22,0.96,2796
23,0.29,4074
24,0.34,2580
25,1.23,2492
26,2.79,1942
27,1.21,3628
28,0.79,3838
29,0.0,1609
30,0.7,2396
31,1.78,4666
32,0.16,6133
33,0.0,4115
34,0.0,3164
35,1.17,4544
36,0.57,1303
37,0.0,1212
38,-0.01,4969
39,1.32,2578
40,1.03,2077
41,0.22,5990
42,1.19,1719
43,1.15,4752
44,2.26,4064
45,0.92,3737
46,0.99,6100
47,0.12,2245
48,1.14,1975
49,0.99,1338
50,0.27,3168
51,1.71,803
52,3.53,703
53,1.28,398
54,2.6,459
55,2.11,457
56,1.45,444
57,3.1,1361
58,1.95,732
59,1.32,263
60,0.66,219
61,0.0,212
62,0.0,260
63,-0.56,996
64,-0.77,1152
65,-1.16,677
66,-0.22,332
