ROI, Median Gray Value, Area
1,2.42,1798
2,0.73,2734
3,0.85,2256
4,0.0,3794
5,0.15,2241
6,2.15,2460
7,0.82,2219
8,0.53,4410
9,0.65,2546
10,1.24,3608
11,2.53,1214
12,2.65,2613
13,2.08,2598
14,0.74,4181
15,0.21,5556
16,1.59,5575
17,1.8,2047
18,0.4,4104
19,0.51,1319
20,0.7,1843
21,0.07,2259
22,1.69,2796
23,1.29,4074
24,1.54,2580
25,2.78,2492
26,3.22,1942
27,2.34,3628
28,1.46,3838
29,0.8,1609
30,0.71,2396
31,2.53,4666
32,1.06,6133
33,1.97,4115
34,0.36,3164
35,1.54,4544
36,0.57,1303
37,0.0,1212
38,1.41,4969
39,2.33,2578
40,1.66,2077
41,0.72,5990
42,4.16,1719
43,1.87,4752
44,3.05,4064
45,2.64,3737
46,2.67,6100
47,0.0,2245
48,2.32,1975
49,0.75,1338
50,0.91,3168
51,3.27,803
52,2.38,703
53,2.35,398
54,4.26,459
55,0.65,457
56,0.68,444
57,2.71,1361
58,1.42,732
59,2.19,263
60,2.24,219
61,0.0,212
62,0.0,260
63,-0.93,996
64,-0.66,1152
65,0.93,677
66,-0.02,332
