ROI, Median Gray Value, Area
1,-0.17,915
2,1.02,1153
3,0.05,1001
4,1.62,961
5,1.22,760
6,1.98,1166
7,1.64,271
8,0.06,1069
9,1.42,670
10,1.21,683
11,0.39,1357
12,3.49,655
13,0.76,988
14,0.97,1737
15,0.68,1739
16,1.78,1354
17,3.04,750
18,0.42,1324
19,0.63,1669
20,1.93,1030
21,0.36,928
22,0.0,1026
23,-0.11,1036
24,0.51,399
25,1.82,1014
26,1.47,1451
27,1.65,397
28,0.57,635
29,2.33,544
30,2.16,979
31,0.87,698
32,0.87,598
33,0.45,525
34,0.07,1401
35,0.62,1179
36,-0.71,726
37,-0.25,359
38,0.0,905
39,-1.18,541
40,0.44,1015
41,-0.0,658
42,-0.02,509
43,-0.36,1101
44,-0.21,702
45,-0.95,896
46,-0.14,613
47,-1.06,835
48,-0.49,1080
49,0.0,854
50,-1.43,1142
51,-1.11,848
52,-1.36,631
53,-0.37,550
54,1.6,1770
55,1.44,1525
56,1.2,1014
57,0.3,927
58,0.0,1103
59,0.56,738
60,0.0,374
61,0.0,1120
62,0.0,895
63,0.95,1255
64,0.53,640
65,0.0,1182
66,0.85,569
67,0.0,1588
68,0.15,966
69,0.78,711
70,1.12,724
71,-0.23,1000
72,-0.13,968
73,1.28,858
74,3.14,1683
75,2.95,513
76,2.44,622
77,2.52,541
78,3.18,457
79,2.8,724
80,2.28,1454
81,1.17,2190
82,0.0,1804
83,0.0,1175
84,-1.07,739
85,-0.12,656
86,0.39,1278
87,1.33,1489
88,0.81,1548
89,0.56,1615
90,1.54,1640
91,2.4,1297
92,1.5,1254
93,1.39,2159
94,0.28,599
95,2.54,817
96,0.78,991
97,0.98,942
98,0.34,480
99,0.0,863
100,0.81,1295
101,1.3,1066
102,1.89,1466
103,1.27,1321
104,0.03,2499
105,0.0,1383
106,1.37,1334
107,0.0,981
108,0.45,765
109,-1.22,677
110,0.0,459
111,0.0,337
112,-0.14,1092
113,1.22,2767
114,0.54,1485
115,1.36,939
116,1.69,925
117,1.9,505
118,1.37,1237
119,1.87,722
120,1.2,1172
121,0.0,1122
122,-0.35,1351
123,2.53,884
124,0.6,2193
125,2.89,1318
126,0.9,1297
127,2.21,794
128,0.3,1679
129,1.32,1523
130,1.29,946
131,1.01,1517
132,0.24,1225
133,1.04,1470
134,1.57,1448
135,1.1,2144
136,0.44,1322
137,0.11,850
138,0.57,1428
139,0.0,983
140,0.99,1099
141,0.1,942
142,0.36,1094
143,2.98,539
144,2.05,427
145,1.04,669
146,1.28,1218
147,0.52,571
148,1.99,854
149,0.0,528
150,0.49,1233
151,1.93,803
152,1.25,703
153,3.14,398
154,3.01,459
155,1.26,457
156,0.58,444
157,3.11,1361
158,0.92,732
159,2.78,263
160,3.01,219
161,0.0,212
162,0.0,260
163,0.61,996
164,0.0,1152
165,1.36,677
166,1.21,332
