ROI, Median Gray Value, Area
1,-0.07,915
2,0.82,1153
3,0.34,1001
4,0.15,961
5,-0.15,760
6,1.22,1166
7,-0.33,271
8,0.24,1069
9,-0.29,670
10,0.14,683
11,1.01,1357
12,-0.93,655
13,0.26,988
14,1.03,1737
15,0.59,1739
16,-0.0,1354
17,0.0,750
18,-0.69,1324
19,0.93,1669
20,-0.38,1030
21,0.95,928
22,0.79,1026
23,0.76,1036
24,0.27,399
25,1.22,1014
26,-0.06,1451
27,0.92,397
28,0.37,635
29,1.68,544
30,0.35,979
31,0.6,698
32,0.47,598
33,1.07,525
34,0.67,1401
35,1.73,1179
36,-0.26,726
37,0.04,359
38,0.0,905
39,0.0,541
40,0.22,1015
41,0.01,658
42,1.13,509
43,0.86,1101
44,0.74,702
45,0.83,896
46,0.0,613
47,0.02,835
48,0.67,1080
49,0.39,854
50,0.29,1142
51,0.74,848
52,0.68,631
53,0.51,550
54,-0.14,1770
55,0.28,1525
56,0.11,1014
57,0.0,927
58,0.73,1103
59,0.72,738
60,0.72,374
61,0.98,1120
62,0.0,895
63,0.26,1255
64,0.89,640
65,1.01,1182
66,0.42,569
67,0.08,1588
68,0.58,966
69,0.28,711
70,0.4,724
71,1.32,1000
72,0.82,968
73,1.15,858
74,0.8,1683
75,1.6,513
76,1.86,622
77,1.3,541
78,2.27,457
79,1.48,724
80,0.5,1454
81,0.44,2190
82,0.0,1804
83,0.0,1175
84,0.86,739
85,0.43,656
86,0.62,1278
87,1.09,1489
88,1.66,1548
89,0.13,1615
90,0.0,1640
91,0.32,1297
92,0.45,1254
93,0.0,2159
94,-0.51,599
95,1.36,817
96,0.29,991
97,0.52,942
98,-0.27,480
99,0.84,863
100,-0.03,1295
101,1.28,1066
102,1.27,1466
103,1.18,1321
104,0.22,2499
105,0.78,1383
106,0.0,1334
107,0.0,981
108,0.02,765
109,0.8,677
110,0.0,459
111,0.0,337
112,1.11,1092
113,0.39,2767
114,0.63,1485
115,0.72,939
116,-0.26,925
117,0.0,505
118,0.66,1237
119,-0.09,722
120,0.25,1172
121,1.33,1122
122,0.32,1351
123,-0.02,884
124,0.25,2193
125,1.61,1318
126,0.86,1297
127,1.21,794
128,0.86,1679
129,0.91,1523
130,1.17,946
131,1.52,1517
132,1.56,1225
133,1.59,1470
134,0.94,1448
135,1.46,2144
136,0.59,1322
137,0.22,850
138,0.35,1428
139,0.29,983
140,1.12,1099
141,0.8,942
142,0.45,1094
143,-0.68,539
144,0.32,427
145,0.43,669
146,1.77,1218
147,0.36,571
148,0.32,854
149,0.0,528
150,1.48,1233
151,1.39,803
152,1.71,703
153,1.85,398
154,2.21,459
155,0.11,457
156,0.48,444
157,0.92,1361
158,0.62,732
159,0.04,263
160,-0.59,219
161,0.0,212
162,0.0,260
163,-1.95,996
164,-1.6,1152
165,-0.57,677
166,-0.54,332
