ROI, Median Gray Value, Area
1,1.37,1798
2,1.02,2734
3,0.97,2256
4,0.48,3794
5,0.24,2241
6,0.45,2460
7,0.44,2219
8,0.0,4410
9,-0.27,2546
10,0.86,3608
11,1.04,1214
12,1.83,2613
13,1.3,2598
14,0.78,4181
15,0.62,5556
16,0.22,5575
17,1.05,2047
18,0.48,4104
19,0.64,1319
20,1.0,1843
21,0.28,2259
22,0.97,2796
23,0.1,4074
24,0.67,2580
25,1.12,2492
26,1.78,1942
27,1.05,3628
28,1.22,3838
29,0.0,1609
30,0.47,2396
31,0.65,4666
32,0.98,6133
33,0.71,4115
34,0.29,3164
35,0.38,4544
36,1.34,1303
37,0.0,1212
38,0.92,4969
39,0.5,2578
40,1.44,2077
41,0.81,5990
42,1.49,1719
43,0.96,4752
44,1.07,4064
45,0.52,3737
46,0.67,6100
47,0.22,2245
48,0.17,1975
49,1.14,1338
50,0.4,3168
51,1.1,803
52,1.01,703
53,0.72,398
54,1.07,459
55,1.95,457
56,0.68,444
57,0.36,1361
58,0.68,732
59,0.6,263
60,0.52,219
61,0.0,212
62,0.0,260
63,-0.3,996
64,-0.12,1152
65,-0.14,677
66,0.07,332
