ROI, Median Gray Value, Area
1,0.72,1798
2,-0.63,2734
3,0.08,2256
4,0.0,3794
5,0.0,2241
6,-0.04,2460
7,0.69,2219
8,0.0,4410
9,-0.22,2546
10,0.58,3608
11,0.2,1214
12,0.72,2613
13,0.65,2598
14,0.19,4181
15,0.0,5556
16,0.46,5575
17,0.4,2047
18,0.32,4104
19,0.0,1319
20,-0.85,1843
21,0.0,2259
22,0.96,2796
23,0.17,4074
24,0.38,2580
25,0.74,2492
26,1.21,1942
27,0.08,3628
28,0.17,3838
29,-0.55,1609
30,0.34,2396
31,0.53,4666
32,0.4,6133
33,0.3,4115
34,0.06,3164
35,0.14,4544
36,-0.84,1303
37,0.0,1212
38,-0.1,4969
39,1.18,2578
40,1.23,2077
41,1.03,5990
42,0.73,1719
43,0.49,4752
44,0.54,4064
45,0.04,3737
46,0.16,6100
47,0.7,2245
48,0.63,1975
49,-0.67,1338
50,-0.05,3168
51,0.7,803
52,0.73,703
53,0.57,398
54,1.1,459
55,0.42,457
56,-0.01,444
57,0.73,1361
58,0.44,732
59,0.68,263
60,0.99,219
61,0.0,212
62,0.0,260
63,0.92,996
64,0.61,1152
65,0.67,677
66,0.9,332
