ROI, Median Gray Value, Area
1,1.75,915
2,0.93,1153
3,0.74,1001
4,1.04,961
5,1.5,760
6,0.85,1166
7,-0.86,271
8,1.44,1069
9,0.24,670
10,1.45,683
11,0.17,1357
12,-0.72,655
13,1.46,988
14,0.35,1737
15,0.66,1739
16,0.51,1354
17,-0.25,750
18,1.14,1324
19,0.51,1669
20,0.97,1030
21,0.7,928
22,1.29,1026
23,1.06,1036
24,1.49,399
25,1.16,1014
26,0.43,1451
27,1.03,397
28,-0.45,635
29,1.51,544
30,1.11,979
31,-0.35,698
32,2.29,598
33,1.14,525
34,1.53,1401
35,1.19,1179
36,1.29,726
37,1.83,359
38,0.0,905
39,0.41,541
40,0.76,1015
41,0.83,658
42,0.49,509
43,0.0,1101
44,1.02,702
45,-0.59,896
46,0.06,613
47,0.19,835
48,0.73,1080
49,1.21,854
50,0.03,1142
51,-0.0,848
52,0.0,631
53,0.0,550
54,1.61,1770
55,1.26,1525
56,1.44,1014
57,1.43,927
58,0.85,1103
59,1.2,738
60,0.82,374
61,0.65,1120
62,0.0,895
63,0.35,1255
64,0.01,640
65,-0.19,1182
66,0.31,569
67,1.0,1588
68,0.68,966
69,2.47,711
70,0.75,724
71,1.26,1000
72,1.27,968
73,0.79,858
74,0.64,1683
75,0.39,513
76,0.89,622
77,1.36,541
78,2.15,457
79,2.69,724
80,2.67,1454
81,1.88,2190
82,0.0,1804
83,0.0,1175
84,0.39,739
85,1.04,656
86,2.11,1278
87,0.88,1489
88,2.83,1548
89,2.31,1615
90,1.09,1640
91,0.88,1297
92,1.36,1254
93,1.31,2159
94,0.64,599
95,1.67,817
96,1.68,991
97,0.68,942
98,0.49,480
99,0.31,863
100,1.92,1295
101,3.28,1066
102,1.29,1466
103,2.37,1321
104,2.01,2499
105,1.35,1383
106,2.03,1334
107,0.33,981
108,0.83,765
109,-0.56,677
110,0.0,459
111,0.0,337
112,1.17,1092
113,2.04,2767
114,1.18,1485
115,1.8,939
116,1.21,925
117,1.02,505
118,1.48,1237
119,1.43,722
120,0.93,1172
121,0.17,1122
122,0.71,1351
123,1.22,884
124,1.0,2193
125,1.13,1318
126,1.41,1297
127,0.34,794
128,2.51,1679
129,2.02,1523
130,1.43,946
131,0.49,1517
132,1.81,1225
133,1.36,1470
134,0.83,1448
135,1.78,2144
136,0.87,1322
137,0.7,850
138,1.47,1428
139,1.57,983
140,0.72,1099
141,1.78,942
142,1.61,1094
143,-0.46,539
144,0.69,427
145,0.06,669
146,0.64,1218
147,0.15,571
148,1.65,854
149,0.0,528
150,0.36,1233
151,1.61,803
152,1.43,703
153,1.36,398
154,1.8,459
155,0.66,457
156,1.37,444
157,3.6,1361
158,2.14,732
159,0.95,263
160,1.29,219
161,0.0,212
162,0.0,260
163,-1.78,996
164,-2.6,1152
165,-0.19,677
166,-0.85,332
