,cPC1
A1BG,-2.9259447106752754
A1BG-AS1,8.12141733088456
AACS,10.54841619704247
AADAT,5.634261850701165
AAED1,-6.020203454991119
AARS2,5.409671919472905
AASS,-7.990702585285151
ABCA1,-6.214817443424333
ABCA2,-0.8608327631546253
ABCA3,5.243303376207999
ABCA5,-2.4871192563867663
ABCA9,-3.0943173692795374
ABCB10,5.867911276659237
ABCB6,-5.400966843806625
ABCC12,6.094394271285046
ABCC5,6.30862412300256
ABCC8,9.295539933910014
ABCE1,-8.028096799129475
ABCF1,5.461846540370791
ABCG1,-6.658131081511206
ABHD1,-6.609342743330096
ABHD17A,3.519335790385308
ABHD17C,-4.450167124849495
ABHD3,-6.954653654198166
ABHD4,-7.860439118329272
ABHD6,-1.0625763460456823
ABHD8,7.441406850010866
ABI1,0.794388591574436
ABI2,5.470738321349625
ABR,5.265286120402673
ABRACL,4.033878096030458
ACAA2,-4.121528590223899
ACACA,4.827958709304032
ACACB,-7.50984925580393
ACAD8,4.190917525384349
ACAD9,4.0810798566332895
ACADL,0.4865495674962433
ACADVL,-7.437024680425471
ACAP2,-6.937451386637673
ACAT2,1.8710050146653459
ACKR1,0.6847622278877096
ACKR3,-1.8429644665511982
ACLY,-8.476801143087654
ACOT2,1.156341654734918
ACOT4,9.567856585878394
ACOT8,3.951552179284827
ACOT9,1.0609896683041016
ACOX1,-7.300040381257615
ACOX3,-0.9188116743673501
ACP1,3.656893671352144
ACP2,-1.2566628723399715
ACSBG1,-6.569066063724437
ACSF2,-3.8965998311122996
ACSF3,4.904284215673628
ACSL4,-6.713048172696453
ACSM5,-8.763449340870793
ACTA1,-1.4042871273956816
ACTG1,3.0443096109738956
ACTL6A,-7.027773940221483
ACTL6B,8.749701091776476
ACTR10,4.172419318985485
ACTR1B,11.012886444009553
ACTR2,4.8465662255462885
ACTR3B,-2.5008716190492413
ACTR3BP2,-2.5068804375951603
ACTR3C,-3.6771411215131127
ACVR2A,-0.7685271302487657
ACY3,-5.945786438252521
ACYP1,2.5905340590809214
ADA,-1.69850141017124
ADAD2,1.4882169709714137
ADAM11,4.71864536214669
ADAM19,2.0409589282392226
ADAM20P1,4.065294971517814
ADAM28,-7.699869248457082
ADAMTS19,-2.0092311811680155
ADAMTS8,3.875904238237643
ADAMTS9,0.28463627954995413
ADAMTSL1,-2.369987858068212
ADAMTSL2,1.6772271807699326
ADAP1,5.406322623538068
ADAP2,-7.009282054234083
ADARB1,1.2239064623146905
ADAT1,4.924480837185797
ADCK2,6.524274735579817
ADCK5,6.912755482528229
ADCY1,6.150813322214155
ADCY2,6.309278115978814
ADCY6,5.805646343359691
ADCY7,1.3406328278871351
ADCY8,-3.254221157025959
ADCYAP1,1.7359877053580604
ADCYAP1R1,-8.051815957552686
ADGRA1,2.6666497224592614
ADGRA3,-5.878597878906301
ADGRB3,6.585325905891618
ADGRG1,-3.8315274762914937
ADGRG6,-7.641571542484059
ADGRL2,4.270528495050466
ADGRL3,-2.3515124947027566
ADGRV1,1.1019406128796592
ADH5,-6.655274888425814
ADI1,-6.158832574301425
ADIPOR1,-9.655168955687593
ADIRF,-3.162980897012251
ADK,-5.813497871123133
ADM,-6.232058909732347
ADM5,-1.5463125914488194
ADNP,5.154361162611257
ADO,4.830185010778543
ADRA1B,2.3723906121060248
ADRA2A,5.332605545121428
ADRA2C,-2.0992042049982538
ADRB1,3.8216385792490177
ADRB2,-6.444170221736817
ADSS,5.926737731839435
ADTRP,7.566004981230363
AES,6.330385271416596
AFAP1L1,1.635442554210075
AFF2,-2.634020044084266
AFTPH,5.527972597913731
AGAP1,6.010119310145186
AGAP2,-0.7285785074647978
AGAP3,4.418890279292256
AGBL4,9.28796541744546
AGFG2,-4.293779004406822
AGGF1,4.367846829545845
AGL,-6.7370994582118096
AGMAT,2.78609408040709
AGO4,0.5869730921996148
AGPAT3,3.9907401665026896
AGPAT5,-8.996122368136126
AGRN,4.647172593759622
AGTPBP1,3.321972780499974
AHCY,-6.408355570211474
AHCYL1,-6.236070756738885
AHNAK,-7.242627275480823
AHRR,-1.6902637558479048
AHSG,4.186877125764637
AIF1,-4.514811617009839
AIFM2,-5.086287820913085
AIFM3,1.6205053401587828
AIM2,-6.029574724603584
AJAP1,-0.8042761540272134
AK3,-9.102238047870426
AK4,-8.257989372738015
AK5,1.2742386879826506
AK8,-7.531224479917711
AKAP13,0.3379721688151134
AKAP5,0.62061668109018
AKAP8,6.180651921843996
AKIRIN1,-6.50075309904678
AKIRIN2,-8.445260090941714
AKR7A2,-3.4295798566205793
AKR7L,-4.679962735033139
AKT3,6.598811656277167
ALAS1,9.092039002213548
ALCAM,-4.834449601510914
