abagen symbol,num_pass
A1BG,10.0
A1BG-AS1,4.0
AACS,4.0
AADAT,2.0
AAED1,3.0
AAK1,0.0
AAMDC,0.0
AARD,0.0
AARS,0.0
AARS2,7.0
AASS,3.0
AATF,0.0
ABCA1,7.0
ABCA2,2.0
ABCA3,5.0
ABCA5,1.0
ABCA6,0.0
ABCA9,1.0
ABCB10,2.0
ABCB6,1.0
ABCB7,0.0
ABCB9,0.0
ABCC12,1.0
ABCC5,5.0
ABCC8,1.0
ABCD3,0.0
ABCE1,3.0
ABCF1,3.0
ABCF2,0.0
ABCG1,5.0
ABCG2,0.0
ABCG4,0.0
ABHD1,7.0
ABHD12,0.0
ABHD12B,0.0
ABHD17A,3.0
ABHD17B,0.0
ABHD17C,6.0
ABHD3,2.0
ABHD4,2.0
ABHD6,1.0
ABHD8,1.0
ABI1,3.0
ABI2,2.0
ABLIM2,0.0
ABR,9.0
ABRACL,2.0
ABTB1,0.0
ABTB2,0.0
ACAA2,6.0
ACACA,3.0
ACACB,1.0
ACAD8,2.0
ACAD9,5.0
ACADL,6.0
ACADSB,0.0
ACADVL,1.0
ACAN,0.0
ACAP2,2.0
ACAT2,5.0
ACE,0.0
ACER3,0.0
ACHE,0.0
ACKR1,3.0
ACKR3,7.0
ACLY,1.0
ACO1,0.0
ACOT13,0.0
ACOT2,7.0
ACOT4,4.0
ACOT8,6.0
ACOT9,3.0
ACOX1,7.0
ACOX3,7.0
ACP1,8.0
ACP2,2.0
ACSBG1,4.0
ACSF2,6.0
ACSF3,1.0
ACSL1,0.0
ACSL3,0.0
ACSL4,7.0
ACSL6,0.0
ACSM5,5.0
ACTA1,1.0
ACTC1,0.0
ACTG1,7.0
ACTL6A,1.0
ACTL6B,1.0
ACTN2,0.0
ACTN4,0.0
ACTR10,4.0
ACTR1B,1.0
ACTR2,4.0
ACTR3B,8.0
ACTR3BP2,1.0
ACTR3C,2.0
ACTR5,0.0
ACVR1,0.0
ACVR1C,0.0
ACVR2A,11.0
ACY3,6.0
ACYP1,2.0
ACYP2,0.0
ADA,5.0
ADAD2,2.0
ADAM11,1.0
ADAM15,0.0
ADAM19,8.0
ADAM20P1,1.0
ADAM22,0.0
ADAM23,0.0
ADAM28,8.0
ADAM8,0.0
ADAMTS13,0.0
ADAMTS19,3.0
ADAMTS4,0.0
ADAMTS5,0.0
ADAMTS8,6.0
ADAMTS9,3.0
ADAMTSL1,2.0
ADAMTSL2,1.0
ADAMTSL3,0.0
ADAP1,6.0
ADAP2,5.0
ADARB1,1.0
ADARB2-AS1,0.0
ADAT1,2.0
ADCK2,3.0
ADCK5,3.0
ADCY1,3.0
ADCY2,7.0
ADCY3,0.0
ADCY6,3.0
ADCY7,3.0
ADCY8,2.0
ADCY9,0.0
ADCYAP1,2.0
ADCYAP1R1,8.0
ADGRA1,2.0
ADGRA2,0.0
ADGRA3,6.0
ADGRB3,6.0
ADGRG1,7.0
ADGRG6,4.0
ADGRL2,1.0
ADGRL3,12.0
ADGRV1,7.0
ADH5,6.0
ADI1,4.0
ADIPOR1,4.0
ADIRF,3.0
ADK,1.0
ADM,1.0
ADM5,8.0
ADNP,5.0
ADO,1.0
ADPRHL1,0.0
ADRA1B,3.0
ADRA1D,0.0
ADRA2A,1.0
ADRA2C,2.0
ADRB1,2.0
ADRB2,7.0
ADSS,8.0
ADSSL1,0.0
ADTRP,4.0
AEBP1,0.0
AES,4.0
AFAP1L1,1.0
AFAP1L2,0.0
AFF1,0.0
AFF2,7.0
AFTPH,1.0
AGA,0.0
AGAP1,7.0
AGAP2,6.0
AGAP3,9.0
AGBL4,3.0
AGFG2,2.0
AGGF1,4.0
AGL,1.0
AGMAT,2.0
AGO1,0.0
AGO3,0.0
AGO4,1.0
AGPAT3,1.0
AGPAT5,4.0
AGRN,6.0
AGTPBP1,3.0
AHCY,3.0
AHCYL1,3.0
AHI1,0.0
AHNAK,3.0
AHNAK2,0.0
AHRR,11.0
AHSG,5.0
AIF1,5.0
AIFM2,5.0
AIFM3,1.0
AIG1,0.0
AIM2,5.0
AIRE,0.0
AJAP1,7.0
AK2,0.0
AK3,2.0
AK4,6.0
AK5,4.0
AK8,2.0
AKAIN1,0.0
AKAP1,0.0
AKAP12,0.0
AKAP13,3.0
AKAP5,7.0
AKAP8,3.0
AKIRIN1,1.0
AKIRIN2,2.0
AKR1C1,0.0
AKR1C3,0.0
AKR1C4,0.0
AKR7A2,6.0
AKR7L,2.0
AKT1S1,0.0
AKT3,2.0
ALAS1,1.0
ALB,0.0
ALCAM,6.0
ALDH1A3,0.0
ALDH1B1,1.0
ALDH1L2,3.0
ALDH2,5.0
ALDH3A2,1.0
ALDH3B1,2.0
ALDH5A1,2.0
ALDH6A1,10.0
ALDH7A1,2.0
ALDH9A1,8.0
ALDOA,3.0
ALG10B,1.0
ALG13,3.0
ALG3,0.0
ALG5,4.0
ALG8,5.0
ALK,7.0
ALKAL2,8.0
