entrezgene	ensembl	symbol	abagen symbol	pass_all	num_pass	correlation	seed	score
1	ENSG00000121410	A1BG	A1BG	1.0	10.0	0.6006032849761214	60.0	0.2611318630330962
503538	ENSG00000268895	A1BG-AS1	A1BG-AS1	1.0	4.0	0.6790230123185917	40.0	0.11809095866410291
65985	ENSG00000081760	AACS	AACS	1.0	4.0	0.6168705256406093	40.0	0.10728183054619292
51166	ENSG00000109576	AADAT	AADAT	1.0	2.0	0.6053945876328256	55.0	0.0526430076202457
195827	ENSG00000158122	PRXL2C	AAED1	1.0	3.0	0.42889196803880114	33.0	0.05594243061375667
22848	ENSG00000115977	AAK1	AAK1	0.0	0.0	0.43204105754591426	32.0	0.0
28971	ENSG00000087884	AAMDC	AAMDC	0.0	0.0	0.3579253765855877	60.0	0.0
441376	ENSG00000205002	AARD	AARD	0.0	0.0	0.5142751614341337	32.0	0.0
16	ENSG00000090861	AARS1	AARS	0.0	0.0	0.4174025014057494	32.0	0.0
57505	ENSG00000124608	AARS2	AARS2	1.0	7.0	0.7828302676805848	31.0	0.23825269016365627
10157	ENSG00000008311	AASS	AASS	1.0	3.0	0.40588806117886334	31.0	0.05294192102333
26574	ENSG00000276072	AATF	AATF	0.0	0.0	0.12826311961857348	32.0	0.0
19	ENSG00000165029	ABCA1	ABCA1	1.0	7.0	0.520310606209747	55.0	0.158355401889923
20	ENSG00000107331	ABCA2	ABCA2	1.0	2.0	0.34664624011464157	32.0	0.030143151314316656
21	ENSG00000167972	ABCA3	ABCA3	1.0	5.0	0.5785336064462061	33.0	0.12576817531439263
23461	ENSG00000154265	ABCA5	ABCA5	1.0	1.0	0.5688445187155867	59.0	0.02473237037893855
23460	ENSG00000154262	ABCA6	ABCA6	0.0	0.0	0.3685145895412456	31.0	0.0
10350	ENSG00000154258	ABCA9	ABCA9	1.0	1.0	0.36395890431295386	31.0	0.015824300187519732
23456	ENSG00000135776	ABCB10	ABCB10	1.0	2.0	0.5357183741524347	33.0	0.046584206448037804
10058	ENSG00000115657	ABCB6	ABCB6	1.0	1.0	0.49853007812310957	32.0	0.021675220787961285
22	ENSG00000131269	ABCB7	ABCB7	0.0	0.0	0.3551043575768098	32.0	0.0
23457	ENSG00000150967	ABCB9	ABCB9	0.0	0.0	0.2520382833591434	59.0	0.0
94160	ENSG00000140798	ABCC12	ABCC12	1.0	1.0	0.596284050327547	40.0	0.025925393492502044
10057	ENSG00000114770	ABCC5	ABCC5	1.0	5.0	0.6631758718370893	33.0	0.14416866779067158
6833	ENSG00000006071	ABCC8	ABCC8	1.0	1.0	0.5509610776030714	33.0	0.023954829461003104
5825	ENSG00000117528	ABCD3	ABCD3	0.0	0.0	0.41395889715413253	32.0	0.0
6059	ENSG00000164163	ABCE1	ABCE1	1.0	3.0	0.4017363569177333	53.0	0.05240039438057391
23	ENSG00000232169	ABCF1	ABCF1	1.0	3.0	0.5254420087168458	2.0	0.06853591418045814
10061	ENSG00000033050	ABCF2	ABCF2	0.0	0.0	0.42363203605766087	32.0	0.0
9619	ENSG00000160179	ABCG1	ABCG1	1.0	5.0	0.4984268884815616	53.0	0.10835367140903512
9429	ENSG00000118777	ABCG2	ABCG2	0.0	0.0	0.2192573735519384	32.0	0.0
64137	ENSG00000172350	ABCG4	ABCG4	0.0	0.0	0.3157722707854046	32.0	0.0
84696	ENSG00000143994	ABHD1	ABHD1	1.0	7.0	0.4689316099858195	33.0	0.14271831608264074
26090	ENSG00000100997	ABHD12	ABHD12	0.0	0.0	0.12713325898147926	53.0	0.0
145447	ENSG00000131969	ABHD12B	ABHD12B	0.0	0.0	0.21080690763354407	10.0	0.0
81926	ENSG00000129968	ABHD17A	ABHD17A	1.0	3.0	0.5117353595950795	32.0	0.0667480903819669
51104	ENSG00000107362	ABHD17B	ABHD17B	0.0	0.0	0.2751914741175694	44.0	0.0
58489	ENSG00000136379	ABHD17C	ABHD17C	1.0	6.0	0.6101063865766908	65.0	0.15915818780261498
171586	ENSG00000158201	ABHD3	ABHD3	1.0	2.0	0.3770652854172331	32.0	0.03278828568845505
63874	ENSG00000100439	ABHD4	ABHD4	1.0	2.0	0.49026876442858996	33.0	0.0426320664720513
57406	ENSG00000163686	ABHD6	ABHD6	1.0	1.0	0.25349780103135183	32.0	0.011021643523102254
79575	ENSG00000127220	ABHD8	ABHD8	1.0	1.0	0.6506171965195714	40.0	0.028287704196503102
10006	ENSG00000136754	ABI1	ABI1	1.0	3.0	0.7361733338364449	53.0	0.09602260876127541
10152	ENSG00000138443	ABI2	ABI2	1.0	2.0	0.7173337998985827	49.0	0.06237685216509414
84448	ENSG00000163995	ABLIM2	ABLIM2	0.0	0.0	0.5048226236290985	32.0	0.0
29	ENSG00000276016	ABR	ABR	1.0	9.0	0.7797780751157103	49.0	0.3051305511322345
58527	ENSG00000146386	ABRACL	ABRACL	1.0	2.0	0.4853083607408308	2.0	0.042200727020941804
80325	ENSG00000114626	ABTB1	ABTB1	0.0	0.0	0.4173807387349223	32.0	0.0
25841	ENSG00000166016	ABTB2	ABTB2	0.0	0.0	0.22536040757029577	40.0	0.0
10449	ENSG00000167315	ACAA2	ACAA2	1.0	6.0	0.38313568034902146	33.0	0.09994843835191863
31	ENSG00000278540	ACACA	ACACA	1.0	3.0	0.5824950784532865	55.0	0.07597761892868954
32	ENSG00000076555	ACACB	ACACB	1.0	1.0	0.4086803601856419	33.0	0.01776871131241921
27034	ENSG00000151498	ACAD8	ACAD8	1.0	2.0	0.5654074650517997	33.0	0.049165866526243454
