"voxel","diagnosis_beta"
1,-0.0148950473608988
2,0.067348910510468
3,0.171177930177682
4,0.263618163981571
5,0.322493599252273
6,0.342166640159408
7,0.349020745200257
8,-0.125212664016205
9,-0.199682474764594
10,-0.12992779187447
11,0.010987171957183
12,0.15712099299782
13,0.265283884455613
14,0.310389053220596
15,0.291481700054569
16,0.244293740434102
17,0.23098009406488
18,0.412066660342702
19,0.0551585471144956
20,-0.161354745726108
21,-0.204913634558084
22,-0.115589051147324
23,0.034642797403864
24,0.182471036225684
25,0.283813439787301
26,0.312426320061113
27,0.266929653937995
28,0.18239844139925
29,0.124494174191618
30,0.154923921219263
31,0.407511995066896
32,0.0939201425223335
33,-0.095006687609989
34,-0.139203153002486
35,-0.0734870091290698
36,0.0462528957016776
37,0.168569221968414
38,0.252993791595856
39,0.27350354615317
40,0.225871937734891
41,0.138315670856718
42,0.0719193767869385
43,0.0934808434055866
44,0.41044628243814
45,0.145148187282605
46,-0.0282048425508749
47,-0.0941667159621483
48,-0.0690429224386552
49,0.0124940567316888
50,0.165674795765379
51,0.104151882166288
52,0.0680733016400684
53,0.371880940260941
54,0.150058232478396
55,-0.0142136418743581
56,-0.101804311123965
57,-0.104955748684292
58,-0.0417515270864633
59,0.0997234511042164
60,0.112184362931107
61,0.306680854470057
62,0.112185388827922
63,-0.0480029624628789
64,-0.146308887261786
65,-0.154841841042541
66,0.220549092910578
67,0.273829260208181
68,0.0793509022618937
69,-0.0898171886549056
70,-0.195792672417638
71,-0.198672123808279
72,0.10329066105911
73,-0.0924828313727313
74,-0.216019347500786
75,-0.0184233525327487
76,-0.167592799655377
77,0.156543436054707
78,0.133432572258979
79,0.157622554630713
80,0.215773389256295
81,-0.142966432705315
82,-0.191502391100532
83,-0.198863277976089
84,-0.174868176654919
85,-0.133970165075735
86,-0.0875815522526855
87,-0.0244520842777386
88,0.0478974146818933
89,-0.26807028977704
90,-0.425964205598121
91,-0.452464178607762
92,-0.408153744153615
93,-0.342557052740037
94,-0.286351587370149
95,-0.258908353345899
96,-0.25931260711861
97,-0.254341120033463
98,-0.194669607070968
99,-0.0543849813331662
100,0.148385188772894
101,0.192859167094506
102,-0.24083509646495
103,-0.519276780252007
104,-0.60621084566864
105,-0.548876581392845
106,-0.431020081426522
107,-0.324030574676392
108,-0.271436786102437
109,-0.287409470308772
110,-0.352202399180217
111,-0.413977835818687
112,-0.41133750841601
113,-0.30985303701077
114,-0.12031225252041
115,0.5075642200889
116,0.033909328373381
117,-0.362444691906748
118,-0.586424806804063
119,-0.617310279134074
120,-0.515006967256097
121,-0.371753194459263
122,-0.267154633590195
123,-0.246681949730455
124,-0.312080445434423
125,-0.426104037674248
126,-0.53006413018872
127,-0.565061825446214
128,-0.494458585713375
129,-0.31671869351145
130,0.37657437064662
131,-0.0507738259438821
132,-0.387448715404026
133,-0.563930391860882
134,-0.572950049725603
135,-0.470990747730066
136,-0.342054323619308
137,-0.26368616363337
138,-0.278304802685405
139,-0.374969527234488
140,-0.504497871702858
141,-0.610810572658422
142,-0.646417552050619
143,-0.577662634455959
144,-0.392225887879477
145,0.23754313054932
146,-0.129139676758838
147,-0.402949047854056
148,-0.548064186479462
149,-0.562307014825723
150,-0.482794652727347
151,-0.375759600965337
152,-0.315959051545893
153,-0.346514674499395
154,-0.449842165196471
155,-0.569714634839774
156,-0.652305945547846
157,-0.658505270882874
158,-0.559394550319153
159,-0.34068495506767
160,0.0872678685229845
161,-0.225027110401528
162,-0.448262662509466
163,-0.577388170397726
164,-0.60539459877543
165,-0.542657381263011
166,-0.43880650905797
167,-0.371489777349118
168,-0.391104113829015
169,-0.480840504593317
170,-0.581439160358428
171,-0.636841345524182
172,-0.60788868326839
173,-0.468565369682899
174,-0.209919415378994
175,-0.0241753221719935
176,-0.305469971685276
177,-0.504923119670848
178,-0.634514946516676
179,-0.675330244592853
180,-0.614747843856212
181,-0.493635594009036
182,-0.396343934363514
183,-0.381592341206272
184,-0.437168599627785
185,-0.506762613218835
186,-0.535123819419966
187,-0.481952047156422
188,-0.321635386404142
189,-0.316071745027148
190,-0.526629841028865
191,-0.678015086396515
192,-0.737265807722125
193,-0.678193440012618
194,-0.538823886570258
195,-0.406333937042964
196,-0.341465100548208
197,-0.336956658731976
198,-0.348227329307263
199,-0.333665331483187
200,-0.261598220420192
201,-0.107119284528038
202,-0.228881176523415
203,-0.476689074818477
204,-0.669581013185647
205,-0.763372568219115
206,-0.725192514996297
207,-0.58761388454619
208,-0.429705621672737
209,-0.306533428747678
210,-0.217435428117087
211,-0.0616615318245409
212,-0.346288807940728
213,-0.583503765259672
214,-0.724139581098948
215,-0.729177773940942
216,-0.615997265179006
217,-0.444687881339696
218,-0.26246959176539
219,-0.405265461374167
220,-0.581716829093765
221,0.146449196381826
222,0.197896629175279
223,0.230871804143255
224,0.0156508614589821
225,-0.160841014054152
226,-0.287761389119486
227,-0.346148904145209
228,-0.333648319940098
229,-0.264413742789584
230,-0.151491159529893
231,-0.00108047845835956
232,0.175762361549868
233,0.356121658047761
234,0.516038866414248
235,0.329034875330567
236,-0.0303158932493094
237,-0.288410350926683
238,-0.460281569176407
239,-0.573131660707618
240,-0.635410874323409
241,-0.648250237207312
242,-0.622641751099297
243,-0.569664882754486
244,-0.483754918102869
245,-0.350310236296954
246,-0.170884291990816
247,0.0282139982126496
248,0.214789624643565
249,0.374023395195693
250,0.845054533762017
251,0.356309632441228
252,-0.110810577494337
253,-0.458314732396208
254,-0.652878904903162
255,-0.729237877531355
256,-0.741548531338801
257,-0.728849204309161
258,-0.717434348778778
259,-0.72284772493324
260,-0.735915423061947
261,-0.719577380537567
262,-0.634853684412192
263,-0.475327958713027
264,-0.27210041748434
265,-0.0653288054005573
266,0.12436855520426
267,0.558042014428128
268,0.0316350640463804
269,-0.427993508106641
270,-0.718856840764868
271,-0.819253520763718
272,-0.786245378868867
273,-0.703878737321508
274,-0.644702933934032
275,-0.654713404274482
276,-0.736971595229718
277,-0.845660877794113
278,-0.910626703390064
279,-0.879543295563084
280,-0.746984838058052
281,-0.546736041800766
282,-0.318673975330667
283,-0.0852105567461109
284,0.810758923811034
285,0.30637614283089
286,-0.207431656453835
287,-0.618186557792
288,-0.835945281425406
289,-0.852604075696636
290,-0.739167313291142
291,-0.600445992931785
292,-0.535342646841099
293,-0.599093512097722
294,-0.769149379401243
295,-0.958699761027547
296,-1.07637428128479
297,-1.07557896677769
298,-0.961344086825295
299,-0.763916856508455
300,-0.510743688856504
301,-0.220746809801875
302,0.573017496226853
303,0.0676363213465183
304,-0.398195972480657
305,-0.738961030723864
306,-0.892532124366842
307,-0.861192580435107
308,-0.712937353254444
309,-0.555997784172027
310,-0.504093542088735
311,-0.61553665708028
312,-0.8431213435794
313,-1.06899798598304
314,-1.19520644357017
315,-1.19181068951973
316,-1.07654063605448
317,-0.871767350059971
318,-0.587811404703257
319,-0.239134918635648
320,0.329952972610983
321,-0.166377558222203
322,-0.572031153049349
323,-0.843655770485979
324,-0.954937760687935
325,-0.910833284620808
326,-0.759415112053493
327,-0.597492028054843
328,-0.545674313330134
329,-0.667584366515743
330,-0.905785133771494
331,-1.12900053744185
332,-1.23930871426325
333,-1.21697695052746
334,-1.08445074079349
335,-0.85687009183999
336,-0.534844739340005
337,-0.134007142307617
338,0.128807709475375
339,-0.359262376252379
340,-0.715492598479169
341,-0.939358395850843
342,-1.03468987930524
343,-0.998826410492178
344,-0.852004422022318
345,-0.676058931368237
346,-0.596753847027761
347,-0.687780270309897
348,-0.897789649455681
349,-1.09918168199398
350,-1.19526460859536
351,-1.16215071632507
352,-1.01423646379715
353,-0.760504454719696
354,-0.40169521020876
355,0.0390389401021732
356,0.0295546112227116
357,-0.453733818951306
358,-0.787152965016497
359,-0.99880198414284
360,-1.1052638148921
