ROI, Median Gray Value, Area
1,1.39,1181
2,0.02,801
3,0.67,3357
4,-0.08,1422
5,1.73,586
6,1.02,4116
7,0.0,5272
8,0.97,4717
9,0.1,1076
10,-0.12,4532
11,0.49,3280
12,-0.14,2908
13,0.55,1697
14,0.62,5352
15,2.16,684
16,0.39,1652
17,-0.66,2277
18,0.0,1018
19,-0.54,1757
20,-1.15,923
21,0.25,4394
22,0.67,1493
23,0.41,5789
24,0.23,4547
25,1.71,1177
26,0.12,7310
27,0.65,10985
28,0.6,5943
29,0.13,5587
30,0.06,4927
31,-0.23,323
32,1.5,909
33,0.84,567
34,0.02,2850
35,1.58,3282
36,-1.03,1757
37,-0.88,2492
38,-2.07,821
39,0.86,545
40,1.4,2057
41,3.06,947
42,0.67,932
43,0.82,785
44,-0.23,3107
45,-0.18,1316
46,1.14,670
47,0.97,4272
48,0.22,5402
49,0.65,4615
50,-0.3,1070
51,0.0,4532
52,0.21,3213
53,0.1,2790
54,1.17,2045
55,0.56,5559
56,0.18,778
57,1.16,1995
58,-0.48,1922
59,0.35,1197
60,0.06,2134
61,-0.41,916
62,-0.02,4024
63,0.3,1462
64,0.62,5743
65,-0.27,4438
66,0.19,801
67,0.45,7719
68,0.9,10341
69,0.44,5747
70,1.29,5413
71,0.38,5629
72,0.87,402
73,1.68,883
74,1.74,517
75,0.45,2831
76,1.17,3465
77,-1.33,1705
78,-1.08,2321
79,-1.95,752
80,0.55,437
81,0.92,1935
82,2.58,957
83,0.8,9036
