ROI, Median Gray Value, Area
1,1.43,806
2,0.91,733
3,2.23,387
4,2.64,466
5,1.17,452
6,0.86,452
7,1.94,1311
8,1.8,731
9,0.84,250
10,-0.52,230
11,-1.81,212
12,-2.64,255
13,-0.94,974
14,-1.29,1133
15,-1.15,684
16,-1.63,371
17,2.19,803
18,1.2,703
19,3.47,398
20,2.75,459
21,1.31,457
22,1.81,444
23,1.39,1361
24,2.02,732
25,0.99,263
26,-0.36,219
27,-0.72,212
28,-2.07,260
29,-1.02,996
30,-1.77,1152
31,-1.24,677
32,-1.49,332
33,1.27,1798
34,0.01,2734
35,0.05,2256
36,-0.61,3794
37,-1.04,2241
38,-0.26,2460
39,0.0,2219
40,0.25,4410
41,0.15,2546
42,0.22,3608
43,1.37,1214
44,0.32,2613
45,0.58,2598
46,0.55,4181
47,0.64,5556
48,0.78,5575
49,0.11,2047
50,0.46,4104
51,0.25,1319
52,0.07,1843
53,0.87,2259
54,-0.21,2796
55,0.3,4074
56,-0.07,2580
57,-0.1,2492
58,-0.0,1942
59,0.58,3628
60,0.36,3838
61,1.22,1609
62,0.93,2396
63,0.61,4666
64,1.7,6133
65,1.13,4115
66,0.96,3164
67,0.33,4544
68,0.4,1303
69,0.63,1212
70,0.3,4969
71,0.95,2578
72,1.27,2077
73,0.05,5990
74,0.49,1719
75,-0.51,4752
76,0.93,4064
77,0.19,3737
78,0.25,6100
79,0.52,2245
80,0.8,1975
81,-0.15,1338
82,-0.04,3168
83,0.74,3039
84,0.49,3943
85,0.9,4901
86,-0.41,4612
87,-0.16,2872
88,-0.27,3157
89,0.02,3383
90,0.0,3450
91,1.15,3853
92,0.14,1370
93,-0.12,1636
94,-0.32,1912
95,-0.17,906
96,0.92,2563
97,-0.0,1431
98,1.02,4757
99,0.0,3829
100,-0.3,1973
101,0.75,2750
102,0.62,4415
103,0.69,3135
104,0.09,3733
105,0.18,3354
106,1.08,2078
107,0.0,2502
108,0.36,3883
109,0.51,1747
110,0.95,3644
111,0.7,4569
112,1.09,7734
113,0.12,1882
114,0.99,2532
115,0.15,4901
116,0.82,3285
117,0.24,3156
118,-0.3,3447
119,0.29,1363
120,1.07,2908
121,-0.06,2816
122,0.52,2438
123,0.54,4506
124,1.16,2675
125,0.52,3083
126,0.05,1941
127,-0.56,2578
128,1.13,4335
129,0.73,5223
130,0.6,2874
131,-0.52,1168
132,-0.54,2000
