ROI, Median Gray Value, Area
1,2.26,1181
2,0.1,801
3,0.41,3357
4,0.78,1422
5,2.03,586
6,1.25,4116
7,0.62,5272
8,1.15,4717
9,0.33,1076
10,0.13,4532
11,1.02,3280
12,0.46,2908
13,0.73,1697
14,0.9,5352
15,1.98,684
16,1.12,1652
17,-0.28,2277
18,0.46,1018
19,0.31,1757
20,0.91,923
21,0.43,4394
22,0.89,1493
23,0.8,5789
24,0.34,4547
25,0.73,1177
26,0.19,7310
27,1.2,10985
28,0.96,5943
29,0.61,5587
30,0.4,4927
31,0.0,323
32,1.84,909
33,-0.33,567
34,0.4,2850
35,2.16,3282
36,-1.09,1757
37,0.22,2492
38,-1.61,821
39,1.4,545
40,2.0,2057
41,3.24,947
42,1.59,932
43,1.31,785
44,1.29,3107
45,0.28,1316
46,2.16,670
47,1.38,4272
48,0.15,5402
49,1.47,4615
50,0.46,1070
51,0.47,4532
52,0.93,3213
53,0.74,2790
54,0.66,2045
55,1.18,5559
56,0.68,778
57,1.41,1995
58,0.13,1922
59,1.38,1197
60,0.6,2134
61,0.49,916
62,-0.08,4024
63,1.19,1462
64,0.48,5743
65,0.01,4438
66,0.89,801
67,1.08,7719
68,0.47,10341
69,0.79,5747
70,1.24,5413
71,0.56,5629
72,-0.05,402
73,2.77,883
74,0.49,517
75,0.84,2831
76,2.24,3465
77,-1.87,1705
78,0.1,2321
79,-1.75,752
80,1.44,437
81,1.39,1935
82,2.82,957
83,0.07,9036
