GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P        PERMP  NPERM
ENSG00000228463    1     227615     267253      2       1  10000      -0.7632      0.77733         0.79   1000
ENSG00000234711    1     808672     809729      2       1  10000       1.3447      0.08936        0.085   1000
ENSG00000187642    1     910584     917473     33       3  10000     -0.11278       0.5449        0.531   1000
ENSG00000272512    1     931346     933431     45       4  10000    -0.064439      0.52569        0.501   1000
ENSG00000188290    1     934342     935552     15       2  10000       0.3017      0.38144        0.346   1000
ENSG00000188157    1     955503     991498     32       2  10000       0.0373      0.48512        0.451   1000
ENSG00000217801    1     995114    1004735     46       4  10000    -0.093221      0.53714        0.508   1000
ENSG00000273443    1     997588     998668     26       2  10000   -0.0046823      0.50187        0.478   1000
ENSG00000131591    1    1017198    1051478     48       5  10000        0.125      0.45026        0.432   1000
ENSG00000186891    1    1138888    1142071     81       2  10000       2.8565    0.0021417       0.0016  10000
ENSG00000186827    1    1146706    1149512     34       4  10000      0.66671      0.25248        0.202   1000
ENSG00000078808    1    1152288    1167411     10       1  10000       2.7152     0.003312       0.0024   5000
ENSG00000176022    1    1167645    1170421    102       3  10000       2.8531    0.0021647       0.0032   5000
ENSG00000160087    1    1189294    1209265      1       1  10000       1.1031        0.135        0.144   1000
ENSG00000230415    1    1210603    1215800     31       1  10000      0.33965      0.36706        0.347   1000
ENSG00000162572    1    1215816    1227409     49       3  10000      0.61563      0.26907        0.232   1000
ENSG00000131584    1    1227756    1243398      1       1  10000       0.8253       0.2046        0.205   1000
ENSG00000127054    1    1246965    1260071      9       1  10000      0.63155      0.26384        0.242   1000
ENSG00000240731    1    1252961    1254069      1       1  10000    -0.072505       0.5289        0.528   1000
ENSG00000224051    1    1260147    1264277      1       1  10000      0.14286       0.4432        0.443   1000
ENSG00000107404    1    1270656    1284730     15       1  10000     0.090844      0.46381        0.448   1000
ENSG00000162576    1    1288069    1297157    146      16  10000       1.2085      0.11343        0.109   1000
ENSG00000175756    1    1309110    1310875     52       4  10000      0.39301      0.34716        0.299   1000
ENSG00000223663    1    1314046    1314412      2       1  10000      0.52192      0.30086          0.3   1000
ENSG00000224870    1    1334902    1337426    184      17  10000       3.0266    0.0012367       0.0023  10000
ENSG00000272455    1    1344476    1345998      1       1  10000      0.73457       0.2313        0.236   1000
ENSG00000235098    1    1353800    1357149    308      25  10000       2.8894    0.0019299        0.003   5000
ENSG00000225905    1    1355625    1358071     35       2  10000      0.59828      0.27483        0.257   1000
ENSG00000205116    1    1361508    1363167     61       4  10000      0.60707       0.2719        0.225   1000
ENSG00000225285    1    1365919    1369953      2       1  10000       1.9046     0.028414         0.03   1000
ENSG00000215915    1    1385069    1405538    120      17  10000       2.0472     0.020321        0.025   1000
ENSG00000160072    1    1407149    1431582      6       1  10000      0.45628       0.3241        0.274   1000
ENSG00000197785    1    1447531    1470067      3       2  10000       2.1659      0.01516        0.014   1000
ENSG00000205090    1    1470554    1475833      1       1  10000       2.1596       0.0154        0.013   1000
ENSG00000160075    1    1477053    1510249     41       5  10000        2.308     0.010501        0.016   1000
ENSG00000215014    1    1510355    1512455      2       1  10000       2.7962     0.002585       0.0018  10000
ENSG00000197530    1    1550795    1565990      6       3  10000      0.60813      0.27155        0.264   1000
ENSG00000189409    1    1567474    1570030      7       2  10000      -1.1037      0.86514        0.894   1000
ENSG00000248333    1    1570603    1590473      1       1  10000     -0.10119       0.5403        0.536   1000
ENSG00000272004    1    1590786    1594063      1       1  10000      0.49104       0.3117        0.298   1000
ENSG00000189339    1    1590990    1624167      8       2  10000     0.058487      0.47668        0.449   1000
ENSG00000269737    1    1603429    1605836      1       1  10000       0.8085       0.2094        0.228   1000
ENSG00000215914    1    1631381    1633221     66       3  10000     -0.13259      0.55274        0.537   1000
ENSG00000008128    1    1634169    1655763     18       3  10000       1.7873     0.036941        0.046   1000
ENSG00000268575    1    1634175    1669127    177      12  10000       2.6681    0.0038143       0.0056   5000
ENSG00000227775    1    1655951    1668690     16       5  10000       1.2088      0.11336        0.111   1000
ENSG00000215790    1    1656277    1677431    196      18  10000       2.0108     0.022173        0.031   1000
ENSG00000078369    1    1716724    1822556      3       1  10000      0.73823      0.23019        0.221   1000
ENSG00000231050    1    1822910    1824097     21       1  10000       2.4235    0.0076857       0.0078   5000
ENSG00000178821    1    1849029    1850712     72       6  10000        2.295     0.010866        0.014   1000
ENSG00000233542    1    1944652    1946969      8       4  10000     -0.23475       0.5928        0.589   1000
ENSG00000271806    1    2072523    2076718      2       1  10000       2.1467     0.015911        0.012   1000
ENSG00000182873    1    2113233    2115828      3       2  10000       2.3939    0.0083345       0.0052   5000
ENSG00000162585    1    2115900    2126214     32       8  10000       1.4153     0.078489        0.075   1000
ENSG00000269554    1    2121237    2123179      1       1  10000      0.80642         0.21        0.233   1000
ENSG00000234396    1    2143962    2152177      1       1  10000     0.074767       0.4702        0.467   1000
ENSG00000157933    1    2160134    2241558      1       1  10000     -0.80781       0.7904         0.79   1000
ENSG00000116151    1    2252692    2323146     20       5  10000       1.0991      0.13587        0.107   1000
ENSG00000272161    1    2257640    2258132      1       1  10000     -0.46742       0.6799        0.683   1000
ENSG00000269896    1    2281853    2284259    100      16  10000      0.74762      0.22735        0.193   1000
ENSG00000272420    1    2294500    2295067    103      17  10000      0.67692      0.24923        0.197   1000
ENSG00000157916    1    2323214    2336883      3       1  10000     0.020895      0.49166        0.487   1000
ENSG00000157911    1    2335403    2344010     13       5  10000      0.52854      0.29856        0.264   1000
ENSG00000149527    1    2398898    2436965     75       8  10000       1.5021     0.066535        0.051   1000
ENSG00000224387    1    2423739    2424697     34       2  10000       2.0532     0.020025        0.019   1000
ENSG00000229393    1    2424876    2425918     29       1  10000       2.0065     0.022402        0.019   1000
ENSG00000157881    1    2439972    2458067     32       3  10000       2.0495     0.020208        0.019   1000
ENSG00000197921    1    2460184    2461684      1       1  10000       2.2259      0.01301        0.014   1000
ENSG00000272449    1    2477904    2478899      5       3  10000      -0.6154      0.73085        0.716   1000
ENSG00000157873    1    2487661    2495268     18       1  10000      0.81859      0.20651        0.187   1000
ENSG00000225931    1    2497849    2501327      1       1  10000     -0.95377       0.8299         0.82   1000
ENSG00000228037    1    2512999    2515972      2       1  10000     -0.51341      0.69617        0.712   1000
ENSG00000157870    1    2518189    2522907    167       9  10000       1.8034     0.035661        0.031   1000
ENSG00000142606    1    2522082    2564429      5       1  10000      0.78508       0.2162        0.223   1000
ENSG00000237058    1    2564007    2568059     78       2  10000        2.286     0.011127       0.0108   5000
ENSG00000215912    1    2567415    2718282    147       6  10000       2.1776     0.014718        0.013   1000
ENSG00000177133    1    2976179    2985001     27       2  10000      -0.2826      0.61126        0.575   1000
ENSG00000142611    1    2985732    3355185      3       2  10000     -0.57522      0.71743        0.715   1000
ENSG00000272235    1    3223200    3226660      1       1  10000     -0.46742       0.6799        0.683   1000
ENSG00000130762    1    3370990    3397677     89       9  10000     -0.21426      0.58483        0.576   1000
ENSG00000272088    1    3403810    3404191      6       2  10000       2.2991     0.010751        0.015   1000
ENSG00000162591    1    3406484    3528059     13       3  10000      -1.2626      0.89663        0.945   1000
ENSG00000238260    1    3539754    3541307      1       1  10000      -1.2781       0.8994        0.887   1000
ENSG00000158109    1    3541566    3546691    108      22  10000       1.3583     0.087191        0.082   1000
ENSG00000116213    1    3547331    3566637      2       1  10000    -0.072893      0.52905        0.521   1000
ENSG00000078900    1    3569084    3652765      2       1  10000      -1.1508      0.87509        0.888   1000
ENSG00000235131    1    3628764    3630862     10       3  10000      0.58093      0.28064        0.256   1000
ENSG00000227372    1    3652165    3653152     74       9  10000      -1.4574       0.9275        0.951   1000
ENSG00000235169    1    3689352    3692546     87      10  10000      0.40767      0.34176        0.313   1000
ENSG00000130764    1    3695122    3713068     55       5  10000     -0.27367      0.60783        0.575   1000
ENSG00000266075    1    3699379    3699673     11       2  10000     -0.74422      0.77163        0.796   1000
ENSG00000272153    1    3701572    3702102      2       1  10000      -0.4048      0.65719        0.663   1000
ENSG00000116198    1    3728645    3773778      2       1  10000    -0.061068      0.52435        0.528   1000
ENSG00000169598    1    3773831    3801993    158      13  10000       1.3388     0.090314        0.078   1000
ENSG00000198912    1    3805689    3816849     38       4  10000       2.6143    0.0044707       0.0056   5000
ENSG00000236423    1    3816936    3833789     17       2  10000       2.5719    0.0050572       0.0056   5000
ENSG00000233304    1    4000625    4015322     26       9  10000       0.8444      0.19922        0.175   1000
ENSG00000226374    1    4004607    4009040      3       2  10000      -2.3107      0.98958        0.995   1000
ENSG00000196581    1    4714792    4852594     72      15  10000    -0.013818      0.50551        0.468   1000
ENSG00000131697    1    5922878    6052533    218      11  10000      0.78953       0.2149        0.195   1000
ENSG00000116254    1    6161853    6240183      3       2  10000       1.8263     0.033905        0.026   1000
ENSG00000158286    1    6266236    6281359      1       1  10000      0.55602       0.2891        0.267   1000
ENSG00000116237    1    6281253    6296000    147      21  10000       2.2872     0.011091        0.017   1000
ENSG00000158292    1    6307406    6321035    186      16  10000     -0.59503      0.72409        0.721   1000
ENSG00000097021    1    6324329    6454451      4       2  10000        1.989     0.023353        0.027   1000
ENSG00000187017    1    6484848    6521004      1       1  10000      0.46379       0.3214        0.293   1000
ENSG00000215788    1    6521211    6526255    140      19  10000       4.6144   1.9715e-06       0.0001  10000
ENSG00000171680    1    6526152    6580121    195      21  10000       5.6463   8.1965e-09       0.0001  10000
ENSG00000162408    1    6581407    6614595      3       1  10000      0.95007      0.17104        0.171   1000
ENSG00000173662    1    6615241    6639817      2       1  10000      -1.0518      0.85355        0.858   1000
ENSG00000162413    1    6650784    6674667     32       3  10000       3.7318   9.5063e-05       0.0001  10000
ENSG00000116273    1    6673745    6684093      4       1  10000       1.2379      0.10788        0.091   1000
ENSG00000041988    1    6684926    6695646     96      11  10000       3.2681   0.00054144       0.0013  10000
ENSG00000007923    1    6694228    6761984      1       1  10000       1.2426        0.107        0.097   1000
ENSG00000237436    1    6843952    6844903      5       2  10000        1.465      0.07146        0.053   1000
ENSG00000171735    1    6845384    7829766    140      16  10000       2.4944    0.0063077         0.01   5000
ENSG00000227950    1    6894393    6894678     30       3  10000      0.27316      0.39237        0.329   1000
ENSG00000237402    1    7429003    7430331     33       2  10000       1.0414      0.14885        0.151   1000
ENSG00000237728    1    7442548    7449814      1       1  10000     -0.94277       0.8271        0.829   1000
ENSG00000270171    1    7753184    7754904    285      28  10000     -0.25714      0.60147        0.579   1000
ENSG00000270035    1    7758363    7758932     20       3  10000      0.84418      0.19928        0.193   1000
ENSG00000269978    1    7760764    7761030      5       2  10000      0.92033       0.1787        0.176   1000
ENSG00000049245    1    7831329    7841492      1       1  10000     -0.19346       0.5767        0.582   1000
ENSG00000269925    1    7836443    7836835     11       2  10000       1.5141     0.065005         0.06   1000
ENSG00000049246    1    7844380    7905237      3       1  10000      0.32484      0.37265        0.358   1000
ENSG00000236266    1    7870302    7887402      1       1  10000       1.1611       0.1228        0.109   1000
ENSG00000049247    1    7903143    7913572     32       7  10000       1.6443     0.050054        0.061   1000
ENSG00000116288    1    8021723    8045565    209      16  10000     0.035093        0.486        0.442   1000
ENSG00000116285    1    8064464    8086368     20       1  10000      0.85452      0.19641        0.188   1000
ENSG00000238290    1    8086798    8182762    215      12  10000      0.46518       0.3209        0.308   1000
ENSG00000162426    1    8377886    8404227     55       8  10000       6.7874   5.7087e-12       0.0001  10000
ENSG00000142599    1    8412457    8877702      1       1  10000     -0.90739       0.8179        0.807   1000
ENSG00000232912    1    8484705    8494898      1       1  10000     -0.94551       0.8278        0.828   1000
ENSG00000270282    1    8572712    8573080      4       2  10000      0.64446      0.25964        0.257   1000
ENSG00000234619    1    8810489    8811146      1       1  10000     -0.23527        0.593        0.588   1000
ENSG00000226545    1    8858534    8859565      2       1  10000     -0.23906      0.59447        0.553   1000
ENSG00000074800    1    8921061    8938749     14       3  10000       1.3141     0.094404        0.075   1000
ENSG00000236269    1    8935847    8938066     17       3  10000       1.9742     0.024181        0.031   1000
ENSG00000230679    1    8938894    8939953      4       1  10000       2.2714     0.011562         0.01   5000
ENSG00000142583    1    9095166    9129775     32       9  10000      0.65309      0.25685        0.225   1000
ENSG00000180758    1    9160364    9189229     39       3  10000      0.55993      0.28776        0.257   1000
ENSG00000228526    1    9208070    9257042      1       1  10000     -0.87716       0.8098        0.823   1000
ENSG00000234546    1    9242063    9256343     35       1  10000      -1.0164      0.84527        0.867   1000
ENSG00000049239    1    9294834    9331396    179      30  10000      0.74186      0.22909        0.189   1000
ENSG00000171621    1    9352939    9429591      1       1  10000       -1.171       0.8792        0.882   1000
ENSG00000171612    1    9599541    9645237     44       2  10000     -0.82747      0.79602        0.831   1000
ENSG00000171608    1    9711790    9789172    110      17  10000      -1.0492      0.85296        0.855   1000
ENSG00000171603    1    9789084    9884584      7       2  10000      0.28693      0.38708        0.381   1000
ENSG00000178585    1    9908334    9970394      1       1  10000      0.50779       0.3058        0.306   1000
ENSG00000162441    1    9988997   10003465    147       2  10000       1.4676     0.071107        0.055   1000
ENSG00000228150    1   10002981   10010032      6       2  10000      -1.0346      0.84956        0.892   1000
ENSG00000173614    1   10003486   10045556     17       2  10000      -0.4156      0.66115         0.65   1000
ENSG00000202415    1   10007376   10007694      5       2  10000     -0.05443       0.5217        0.521   1000
ENSG00000241326    1   10043199   10044626     10       3  10000     -0.92236      0.82183        0.829   1000
ENSG00000162444    1   10057274   10076078    130       9  10000      -1.4427      0.92544        0.977   1000
ENSG00000130939    1   10092890   10241297      3       1  10000     -0.68184      0.75233        0.758   1000
ENSG00000233623    1   10118729   10119706      1       1  10000       2.4487     0.007168       0.0084   5000
ENSG00000054523    1   10270863   10441661    194       6  10000         1.38     0.083798        0.074   1000
ENSG00000264501    1   10366523   10366813      9       3  10000      0.17883      0.42904        0.431   1000
ENSG00000142657    1   10459137   10480201    207       8  10000       1.5675     0.058501        0.052   1000
ENSG00000271989    1   10489938   10490734      1       1  10000      0.54784       0.2919        0.284   1000
ENSG00000175279    1   10490500   10502866     90       6  10000     -0.43104      0.66678        0.636   1000
ENSG00000241563    1   10509776   10511959     12       2  10000     0.026479      0.48944        0.463   1000
ENSG00000160049    1   10516579   10532583      7       2  10000     -0.43866      0.66955         0.67   1000
ENSG00000142655    1   10534944   10690815      1       1  10000     -0.57602       0.7177        0.716   1000
ENSG00000243267    1   10676893   10677170      1       1  10000      0.13805       0.4451        0.448   1000
ENSG00000130940    1   10696661   10856707     11       2  10000     -0.68368      0.75291        0.756   1000
ENSG00000272078    1   10699298   10714390    157      20  10000     0.079315      0.46839        0.407   1000
ENSG00000215785    1   11051035   11051854     14       3  10000       1.6952     0.045019        0.047   1000
ENSG00000120948    1   11072457   11086477     22       2  10000      0.32813      0.37141        0.333   1000
ENSG00000009724    1   11086580   11107290      3       1  10000      0.38504       0.3501        0.356   1000
ENSG00000271895    1   11089716   11090585     46       6  10000       2.1486     0.015833         0.02   1000
ENSG00000116649    1   11114646   11120081     62       4  10000     -0.59626       0.7245        0.746   1000
ENSG00000171824    1   11126675   11159938    144       5  10000      0.63134      0.26391        0.246   1000
ENSG00000226849    1   11128528   11133154      7       1  10000     -0.58373       0.7203        0.736   1000
ENSG00000230337    1   11159732   11162157    246       3  10000      0.32939      0.37093         0.36   1000
ENSG00000198793    1   11166592   11322564    145       5  10000      0.53588      0.29602        0.272   1000
ENSG00000225602    1   11203955   11209594      1       1  10000      0.10875       0.4567        0.442   1000
ENSG00000171819    1   11249398   11256038      5       2  10000       1.2125      0.11267        0.098   1000
ENSG00000204624    1   11539295   11597641     82       5  10000     -0.67623      0.75055        0.808   1000
ENSG00000116661    1   11708424   11714739      7       2  10000      0.25169      0.40064        0.376   1000
ENSG00000132879    1   11714432   11723384     29       7  10000     -0.67889       0.7514        0.755   1000
ENSG00000116663    1   11724181   11734411     31       7  10000    -0.069923      0.52787        0.502   1000
ENSG00000116670    1   11734537   11751707     14       4  10000      0.20159      0.42012          0.4   1000
ENSG00000162490    1   11751786   11785914     45      13  10000      0.68427       0.2469        0.213   1000
ENSG00000177674    1   11796141   11810828     27       6  10000       1.9687     0.024493        0.025   1000
ENSG00000215910    1   11821844   11849641      6       1  10000     -0.67842      0.75125         0.75   1000
ENSG00000177000    1   11845780   11866115    103       7  10000       1.0263      0.15236        0.148   1000
ENSG00000011021    1   11866153   11903201     36       4  10000    -0.037234      0.51485        0.473   1000
ENSG00000242349    1   11901074   11908136    187      16  10000      0.65059      0.25766        0.233   1000
